model_name,internal_variant_id,model_role,dataset,unit,total_params,test_mae_mean,test_mae_std,test_rmse_mean,test_r2_mean
CAEG-Net,F2_A2_OOF,FINAL_LOCKED_CHAMPION,PJM,MW,121724,250.974737,10.693817,335.382246,0.871448
CAEG-Net,F2_A2_OOF,FINAL_LOCKED_CHAMPION,GEFCom,kW,121724,12.407666,0.152461,18.044559,0.860951
CAEG-Net,F2_A2_OOF,FINAL_LOCKED_CHAMPION,UCI,MW,121724,7.737112,0.30366,10.955631,0.983078
TCN Expert,TCN_Standalone,BASELINE_STANDALONE,PJM,MW,36952,259.326416,,,
TCN Expert,TCN_Standalone,BASELINE_STANDALONE,GEFCom,kW,36952,12.572886,,,
TCN Expert,TCN_Standalone,BASELINE_STANDALONE,UCI,MW,36952,8.34,,,
LSTM Expert,LSTM_Standalone,BASELINE_STANDALONE,PJM,MW,56152,291.73,,,
LSTM Expert,LSTM_Standalone,BASELINE_STANDALONE,GEFCom,kW,56152,13.23,,,
LSTM Expert,LSTM_Standalone,BASELINE_STANDALONE,UCI,MW,56152,7.554153,,,
CNN Expert,CNN_Standalone,BASELINE_STANDALONE,PJM,MW,27400,432.08,,,
CNN Expert,CNN_Standalone,BASELINE_STANDALONE,GEFCom,kW,27400,14.5,,,
CNN Expert,CNN_Standalone,BASELINE_STANDALONE,UCI,MW,27400,11.71,,,
Equal Ensemble,Static_Equal_Ensemble,BASELINE_ENSEMBLE,PJM,MW,120504,279.828156,,,
Equal Ensemble,Static_Equal_Ensemble,BASELINE_ENSEMBLE,GEFCom,kW,120504,12.624822,,,
Equal Ensemble,Static_Equal_Ensemble,BASELINE_ENSEMBLE,UCI,MW,120504,8.167454,,,
Fixed Shrinkage Control,Control_B_FixedShrinkage,EXPLORATORY_CONTROL,PJM,MW,121579,253.500776,8.026379,338.953189,0.868797
Fixed Shrinkage Control,Control_B_FixedShrinkage,EXPLORATORY_CONTROL,GEFCom,kW,121579,12.360713,0.184143,18.018051,0.861359
Fixed Shrinkage Control,Control_B_FixedShrinkage,EXPLORATORY_CONTROL,UCI,MW,121579,7.75227,0.181391,10.989316,0.982986
Horizon Routing Control,Control_C_HorizonRouting,EXPLORATORY_CONTROL,PJM,MW,122852,257.544988,5.367026,343.91318,0.864983
Horizon Routing Control,Control_C_HorizonRouting,EXPLORATORY_CONTROL,GEFCom,kW,122852,12.85823,0.251967,18.43919,0.854788
Horizon Routing Control,Control_C_HorizonRouting,EXPLORATORY_CONTROL,UCI,MW,122852,8.13093,0.404767,11.483722,0.981367
Dynamic Confidence Control,Control_D_DynamicConfidence,EXPLORATORY_CONTROL,PJM,MW,121740,251.941873,9.799554,336.739637,0.870439
Dynamic Confidence Control,Control_D_DynamicConfidence,EXPLORATORY_CONTROL,GEFCom,kW,121740,12.485537,0.268476,18.101897,0.860059
Dynamic Confidence Control,Control_D_DynamicConfidence,EXPLORATORY_CONTROL,UCI,MW,121740,7.817687,0.283814,10.997974,0.982952
