comparison,candidate_id,baseline_id,dataset,k_blocks,mean_paired_diff,ci_95_lower,ci_95_upper,cohen_dz,t_statistic,p_value_t,wilcoxon_statistic,p_value_wilcoxon,p_value_holm,statistically_significant
Control_B_FixedShrinkage vs Control_A_F2,Control_B_FixedShrinkage,Control_A_F2,PJM,53,1.0165114780661357,-4.010323859735123,6.043346815867394,0.05444221220485615,0.39634528746690295,0.6934721148009765,613.0,0.3641908829088938,1.0,False
Control_C_HorizonRouting vs Control_A_F2,Control_C_HorizonRouting,Control_A_F2,PJM,53,1.0065927723102337,-6.854983042692019,8.868168587312486,0.03447167108538288,0.2509575535687298,0.8028359506078894,683.0,0.773565021656321,0.8028359506078894,False
Control_D_DynamicConfidence vs Control_A_F2,Control_D_DynamicConfidence,Control_A_F2,PJM,53,-7.09246644669273,-11.056064276189032,-3.1288686171964275,-0.48175457155704166,-3.5072262205987563,0.0009425398059544202,343.0,0.0009749590849966216,0.004712699029772101,True
Candidate_E1_HGR_FS vs Control_A_F2,Candidate_E1_HGR_FS,Control_A_F2,PJM,53,6.6622805871606925,-4.089410155440147,17.41397132976153,0.16682621324115451,1.21451316480818,0.23003842884512093,640.0,0.5038886790444679,0.9201537153804837,False
Candidate_E2_HGR_DGS vs Control_A_F2,Candidate_E2_HGR_DGS,Control_A_F2,PJM,53,-1.2983338411180192,-10.087240522852813,7.490572840616775,-0.03977128841307554,-0.2895393500854678,0.7733200147703099,640.0,0.5038886790444679,1.0,False
Control_B_FixedShrinkage vs Control_A_F2,Control_B_FixedShrinkage,Control_A_F2,GEFCom,456,0.03519609950793949,-0.009903283179267267,0.08029548219514625,0.07163043516072029,1.5296075228792443,0.12680880658321494,42211.0,0.00044556415383830306,0.2536176131664299,False
Control_C_HorizonRouting vs Control_A_F2,Control_C_HorizonRouting,Control_A_F2,GEFCom,456,0.5761316082492599,0.41544354694066066,0.7368196695578592,0.329087769051078,7.02739172389355,7.731759339319436e-12,32743.0,6.2333694878710045e-12,3.865879669659718e-11,True
Control_D_DynamicConfidence vs Control_A_F2,Control_D_DynamicConfidence,Control_A_F2,GEFCom,456,0.08129786189096247,0.03402146704033404,0.1285742567415909,0.15783685645963913,3.370472934954945,0.0008143264409702944,36372.0,2.332716348955816e-08,0.0024429793229108834,True
Candidate_E1_HGR_FS vs Control_A_F2,Candidate_E1_HGR_FS,Control_A_F2,GEFCom,456,-0.1082955815684162,-0.33406140298579834,0.11747023984896596,-0.0440277197083269,-0.9401748171689971,0.34762674753171635,47606.0,0.11062292226056263,0.34762674753171635,False
Candidate_E2_HGR_DGS vs Control_A_F2,Candidate_E2_HGR_DGS,Control_A_F2,GEFCom,456,0.44420291209029306,0.2966026253407214,0.5918031988398647,0.2762280961689445,5.89861799641457,7.15974445174873e-09,35173.0,1.8419891707141141e-09,2.863897780699492e-08,True
Control_B_FixedShrinkage vs Control_A_F2,Control_B_FixedShrinkage,Control_A_F2,UCI,163,-0.43592197131513705,-0.7044772922749345,-0.16736665035533954,-0.24919381930517984,-3.181493707605863,0.0017563819401996115,4576.0,0.00048077187460687353,0.008781909700998057,True
Control_C_HorizonRouting vs Control_A_F2,Control_C_HorizonRouting,Control_A_F2,UCI,163,0.1318139512226844,-0.0289852260550231,0.2926131285003919,0.12584611857751532,1.6066956857016128,0.11006853415398596,5147.0,0.010924207819300374,0.22013706830797192,False
Control_D_DynamicConfidence vs Control_A_F2,Control_D_DynamicConfidence,Control_A_F2,UCI,163,0.08726354249806345,-0.008708099616718784,0.1832351846128457,0.1395893171298786,1.782157098986015,0.07659674181818373,5637.0,0.08306082019137448,0.2297902254545512,False
Candidate_E1_HGR_FS vs Control_A_F2,Candidate_E1_HGR_FS,Control_A_F2,UCI,163,0.17687091544011355,0.006788406626394933,0.34695342425383213,0.15964636682262298,2.0382283673996517,0.04315331018555146,5252.0,0.017733717295228175,0.17261324074220585,False
Candidate_E2_HGR_DGS vs Control_A_F2,Candidate_E2_HGR_DGS,Control_A_F2,UCI,163,-0.05747075847501402,-0.2553170051991326,0.14037548824910456,-0.04459450854570182,-0.5693445717375628,0.5699109014388078,6211.0,0.43416032441619246,0.5699109014388078,False
