model,seed,best_epoch,actual_epochs,train_time_seconds,best_val_loss,MAE,RMSE,MSE,R2,MAPE
Standalone_LSTM,42,13,20,34.25972938537598,0.18014906681534174,13.149706188349695,19.07489309224435,363.8515464805511,0.8446295614005697,9.805093618649805
Standalone_TCN,42,9,16,45.30089354515076,0.16416197064994037,12.518295760740314,18.05664935352338,326.0425858760963,0.860774593210725,9.547077399518706
Standalone_CNN,42,15,22,26.50872039794922,0.20714663789756055,14.514235663716091,20.215328287128493,408.65949775637745,0.8254958484624025,10.962977390813952
Static_Equal_Ensemble,42,0,0,0.0,0.0,12.597461061054736,18.155289783155386,329.6145471103464,0.8592493085472579,9.580299089138583
Original_CAEGNet_V1,42,6,13,64.28444695472717,0.16826338720494421,12.46741053046655,18.180978969028903,330.5479962722713,0.8588507108029267,9.2837845033552
Standalone_LSTM,123,7,14,24.88318109512329,0.17903301864862442,13.223272687568535,18.731145629093117,350.8558165782942,0.8501789462372268,10.013369104595466
Standalone_TCN,123,24,31,101.20591282844543,0.16495830630478653,12.258905309043666,17.93899339038955,321.8074838604401,0.8625830496101842,9.145930965338378
Standalone_CNN,123,7,14,19.841217756271362,0.20466348701629086,14.747357500836863,20.387271266318816,415.64082968646875,0.822514707899779,10.969071063262279
Static_Equal_Ensemble,123,0,0,0.0,0.0,12.345633051142126,17.823382367508692,317.6729590184198,0.864348557945434,9.293861873622646
Original_CAEGNet_V1,123,10,17,92.78399348258972,0.16373783244710902,12.380269940281705,18.15524935252674,329.6130790524227,0.859249935431507,9.240329162149541
Standalone_LSTM,999,8,15,29.032316207885742,0.17883129385502441,13.275566589559263,18.874042797080673,356.22949150603284,0.847884300966403,10.022985613994361
Standalone_TCN,999,9,16,51.455620765686035,0.16304875543152075,12.515609229401074,18.12584222535239,328.54615637836764,0.8597055285035251,9.474046798088448
Standalone_CNN,999,11,18,23.17516255378723,0.2044526359093362,14.244489617660264,20.317952318796817,412.81918642890093,0.8237195947684482,10.51112408285352
Static_Equal_Ensemble,999,0,0,0.0,0.0,12.550302237954869,18.149394909888503,329.4005355950867,0.8593406948923562,9.46420795866389
Original_CAEGNet_V1,999,6,13,67.86127829551697,0.16603947846569878,12.598672241408226,18.146666199733737,329.3014941645589,0.8593829871696586,9.420919330396197
Standalone_LSTM,2024,8,15,26.929664850234985,0.18070360229931015,13.121676156337266,18.89963320880047,357.1961354271936,0.8474715285281573,9.733106798751628
Standalone_TCN,2024,11,18,62.69628143310547,0.1661349694797958,12.42432789844379,18.140205815325043,329.06706702235255,0.859483091314485,9.251840345705098
Standalone_CNN,2024,12,19,23.910951614379883,0.20087670988362769,14.29398569409494,20.08705759926272,403.4898829960983,0.8277033567730415,10.739287667018841
Static_Equal_Ensemble,2024,0,0,0.0,0.0,12.515478489982222,18.147803016174997,329.3427543138903,0.85936536842498,9.364260288630527
Original_CAEGNet_V1,2024,13,20,104.20101380348206,0.16941454358722852,12.605176035075159,18.542974566801636,343.8419057850523,0.8531739984962708,9.348036974244108
Standalone_LSTM,3407,5,12,21.4816997051239,0.1840362202214158,13.370454337774662,19.116187461753388,365.4286230728974,0.8439561244336862,9.977009597141713
Standalone_TCN,3407,15,22,70.4379940032959,0.1605350288791933,12.30655337829455,17.85396383446377,318.76402460234027,0.863882655464177,9.289237760419287
Standalone_CNN,3407,8,15,19.917030096054077,0.19831262312937473,14.724100506590355,20.26231994704082,410.56160963624825,0.8246836162212611,11.165488234527084
Static_Equal_Ensemble,3407,0,0,0.0,0.0,12.628150909166006,18.11943582802822,328.3139547260327,0.859804682328528,9.54329473329716
Original_CAEGNet_V1,3407,4,11,56.18272805213928,0.1727799216312343,12.705444128831692,18.370213935120976,337.46476002211284,0.8558971418875367,9.558393109864438
