dataset,lambda_bin,n_daily_blocks,mean_lambda,mean_adaptive_mae,mean_equal_mae,mean_advantage_eq_minus_ad,frac_adaptive_beats_equal,spearman_corr_with_advantage,spearman_p_value
PJM,"(0.5, 0.507]",11,0.5043964982032776,224.38663806548948,226.32091407702293,1.934276011533422,0.6363636363636364,-0.03644573455894211,0.7955672170085651
PJM,"(0.507, 0.508]",10,0.5076043009757996,207.96936571589822,208.79265257920264,0.8232868633044177,0.4,-0.03644573455894211,0.7955672170085651
PJM,"(0.508, 0.51]",11,0.5089559555053711,240.2796233562842,238.54047619483197,-1.7391471614522542,0.45454545454545453,-0.03644573455894211,0.7955672170085651
PJM,"(0.51, 0.512]",10,0.5110026001930237,326.5303367627545,326.996838568161,0.4665018054066167,0.4,-0.03644573455894211,0.7955672170085651
PJM,"(0.512, 0.516]",11,0.5137536525726318,259.74570127546065,260.6185407121882,0.8728394367275158,0.6363636363636364,-0.03644573455894211,0.7955672170085651
GEFCom,"(0.494, 0.506]",92,0.5030971169471741,13.85280831903705,14.039350897993348,0.18654257895629653,0.6413043478260869,-0.18433252800407013,7.512523368975411e-05
GEFCom,"(0.506, 0.511]",91,0.5087427496910095,12.865481892263215,12.941689916714573,0.07620802445135906,0.5494505494505495,-0.18433252800407013,7.512523368975411e-05
GEFCom,"(0.511, 0.515]",91,0.5132942795753479,11.241648428164853,11.336140621073245,0.09449219290839174,0.6153846153846154,-0.18433252800407013,7.512523368975411e-05
GEFCom,"(0.515, 0.52]",91,0.5172027945518494,12.202818786309098,11.814836195360797,-0.38798259094830184,0.42857142857142855,-0.18433252800407013,7.512523368975411e-05
GEFCom,"(0.52, 0.527]",91,0.5221046209335327,14.304962070225706,13.450507069757165,-0.854455000468542,0.4065934065934066,-0.18433252800407013,7.512523368975411e-05
UCI,"(0.4847, 0.5127]",33,0.5092149972915649,10.264758771461008,9.2669861136387,-0.9977726578223055,0.15151515151515152,0.25669886555716276,0.0009406754801318691
UCI,"(0.5127, 0.5145]",32,0.5137481689453125,10.280123415599864,9.475194776565239,-0.8049286390346254,0.25,0.25669886555716276,0.0009406754801318691
UCI,"(0.5145, 0.5155]",33,0.514988899230957,8.447816865188571,8.123433830133772,-0.3243830350548002,0.36363636363636365,0.25669886555716276,0.0009406754801318691
UCI,"(0.5155, 0.5163]",32,0.5158828496932983,7.795747315554667,7.912021330286578,0.11627401473191046,0.53125,0.25669886555716276,0.0009406754801318691
UCI,"(0.5163, 0.5189]",33,0.517160177230835,7.128979438287455,8.037902201847574,0.9089227635601204,0.6060606060606061,0.25669886555716276,0.0009406754801318691
