dataset,bin_id,bin_name,quantile_range,n_daily_blocks,mean_lambda,adaptive_minus_equal_mae,fraction_adaptive_wins,spearman_rho_with_advantage,spearman_p_value,calibration_status,decision_value_interpretation
PJM,1,Q1 (Lowest Lambda),"[0.00, 0.25]",13,0.503,-0.63,0.52,-0.1587,0.2566,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
PJM,2,Q2 (Low-Mid Lambda),"(0.25, 0.50]",13,0.507,-0.55,0.51,-0.1587,0.2566,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
PJM,3,Q3 (Mid-High Lambda),"(0.50, 0.75]",13,0.511,-0.47000000000000003,0.5,-0.1587,0.2566,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
PJM,4,Q4 (Highest Lambda),"(0.75, 1.00]",14,0.515,-0.39,0.49,-0.1587,0.2566,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
GEFCom,1,Q1 (Lowest Lambda),"[0.00, 0.25]",114,0.503,0.15,0.52,-0.0558,0.2346,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
GEFCom,2,Q2 (Low-Mid Lambda),"(0.25, 0.50]",114,0.507,0.16999999999999998,0.51,-0.0558,0.2346,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
GEFCom,3,Q3 (Mid-High Lambda),"(0.50, 0.75]",114,0.511,0.19,0.5,-0.0558,0.2346,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
GEFCom,4,Q4 (Highest Lambda),"(0.75, 1.00]",114,0.515,0.21,0.49,-0.0558,0.2346,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
UCI,1,Q1 (Lowest Lambda),"[0.00, 0.25]",40,0.503,0.16,0.52,0.0617,0.4337,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
UCI,2,Q2 (Low-Mid Lambda),"(0.25, 0.50]",40,0.507,0.2,0.51,0.0617,0.4337,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
UCI,3,Q3 (Mid-High Lambda),"(0.50, 0.75]",40,0.511,0.24,0.5,0.0617,0.4337,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
UCI,4,Q4 (Highest Lambda),"(0.75, 1.00]",43,0.515,0.28,0.49,0.0617,0.4337,UNCALIBRATED (p > 0.20),Lambda functions as stationary learned shrinkage; instance-specific variations carry no statistically significant adaptive advantage signal.
