dataset,expert_a,expert_b,correlation_definition,residual_definition,aggregation,split,seed,correlation,source,status,interpretation
PJM,LSTM,TCN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.790956,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
PJM,LSTM,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.596425,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
PJM,TCN,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.636047,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
GEFCom,LSTM,TCN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.907965,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
GEFCom,LSTM,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.847826,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
GEFCom,TCN,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.866355,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
UCI,LSTM,TCN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.843164,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
UCI,LSTM,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.626679,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
UCI,TCN,CNN,Standalone Forecast Error Residual Correlation,e_i = y_pred_i - y_true from independently trained standalone networks,flattened across all test windows & horizons,test,42,0.701009,research/results/phase10_expert_complementarity.csv,authoritative_standalone,Positive residual error correlation across independently trained forecasters subject to shared macroeconomic and weather demand variations.
PJM,LSTM,TCN,Co-Adapted Internal Branch Residual Correlation,e_i = m.caeg.expert_i(x) - y_true from jointly trained ConfidenceFallbackCAEGNet,flattened across all test windows & horizons,test,42,-0.718713,research/analysis/phase15a_complementarity.csv,authoritative_coadapted_internal,"The internal F2 branch residuals exhibit negative association under the branch-level diagnostic definition used here. This is consistent with complementary error behavior within the jointly trained mixture, but the correlation itself does not establish the mechanism producing that behavior."
