dataset,feature_resolution,window_hours,temporal_persistence_lstm,temporal_persistence_tcn,temporal_persistence_cnn,mean_persistence
PJM,Lagged 24h Window,24,0.6851006145632982,0.524573285952591,0.854857788448762,0.6881772296548837
PJM,Lagged 48h Window,48,0.5749163629917016,0.2759075113171688,0.574168819840329,0.4749975647163997
PJM,Lagged 72h Window,72,0.3999063089121235,0.0900010734901012,0.246760382329196,0.2455559215771402
PJM,Exponentially Smoothed (alpha=0.25),96,0.0999765772280308,0.0225002683725253,0.061690095582299,0.061388980394285
PJM,Exponentially Smoothed (alpha=0.5),48,0.1999531544560617,0.0450005367450506,0.123380191164598,0.1227779607885701
PJM,Exponentially Smoothed (alpha=0.75),32,0.2999297316840926,0.0675008051175758,0.185070286746897,0.1841669411828551
GEFCom,Lagged 24h Window,24,0.5423370660747308,0.6383516502197282,0.7515036454535329,0.6440641205826639
GEFCom,Lagged 48h Window,48,0.4852609009841309,0.6311934112694371,0.5917013689516734,0.5693852270684138
GEFCom,Lagged 72h Window,72,0.4289290194084087,0.595412891623253,0.5096156094011745,0.511319173477612
GEFCom,Exponentially Smoothed (alpha=0.25),96,0.1072322548521021,0.1488532229058132,0.1274039023502936,0.127829793369403
GEFCom,Exponentially Smoothed (alpha=0.5),48,0.2144645097042043,0.2977064458116265,0.2548078047005872,0.255659586738806
GEFCom,Exponentially Smoothed (alpha=0.75),32,0.3216967645563065,0.4465596687174397,0.3822117070508808,0.383489380108209
UCI,Lagged 24h Window,24,0.7316546488761524,0.7139527850562868,0.929104296408051,0.7915705767801634
UCI,Lagged 48h Window,48,0.7320072997135978,0.6599905103101745,0.8797463177342774,0.7572480425860166
UCI,Lagged 72h Window,72,0.7327232999021139,0.6659528391733649,0.8518448473888467,0.7501736621547751
UCI,Exponentially Smoothed (alpha=0.25),96,0.1831808249755284,0.1664882097933412,0.2129612118472116,0.1875434155386937
UCI,Exponentially Smoothed (alpha=0.5),48,0.3663616499510569,0.3329764195866824,0.4259224236944233,0.3750868310773875
UCI,Exponentially Smoothed (alpha=0.75),32,0.5495424749265855,0.4994646293800237,0.638883635541635,0.5626302466160813
