dataset,regime_dimension,regime_bin,n_windows,mae_equal,mae_adaptive,mae_f2,f2_advantage_over_equal,f2_pct_improvement,mean_lambda
PJM,Volatility,High Volatility,431,282.90217491177674,287.5943806788716,284.6200268899512,-1.7178519781744657,-0.607224733676996,0.5091053247451782
PJM,Volatility,Low Volatility,431,214.9731577373752,214.57352512433,214.32686909453216,0.6462886428430642,0.3006369026000033,0.5085262060165405
PJM,Volatility,Medium Volatility,432,254.3331983708985,248.53303973135425,250.75527640430735,3.5779219665911173,1.4067852681085589,0.510026216506958
PJM,Load Level,Normal Load,432,215.05505259292724,212.99999560643036,213.49832758753743,1.5567250053897477,0.7238727882094622,0.5088536143302917
PJM,Load Level,Off-Peak Load,431,237.5989659575157,238.44777680208983,237.63070215632516,-0.0317361988094448,-0.0133570441611768,0.50840824842453
PJM,Load Level,Peak Load,431,299.6456450584196,299.33561638386607,298.659585681626,0.98605937679357,0.3290751569579213,0.5103986263275146
GEFCom,Volatility,High Volatility,3645,14.677453086819764,15.374812911201277,14.612668183517863,0.064784903301901,0.4413906344560377,0.5171132683753967
GEFCom,Volatility,Low Volatility,3645,9.527516260967063,9.35272744474974,9.25920784078885,0.2683084201782127,2.816142348425432,0.5122822523117065
GEFCom,Volatility,Medium Volatility,3654,13.950209385777928,13.956782206206697,13.854113718632538,0.0960956671453902,0.6888474895821897,0.5092139840126038
GEFCom,Load Level,Normal Load,3654,12.592724180888714,13.092789603903,12.683892084578858,-0.0911679036901469,-0.7239728463878169,0.5121939778327942
GEFCom,Load Level,Off-Peak Load,3645,10.846563776515437,10.161020504273525,10.344669448996209,0.5018943275192239,4.627219623286652,0.5108623504638672
GEFCom,Load Level,Peak Load,3645,14.719242591481326,15.432645769048609,14.70031764549765,0.0189249459836752,0.1285728247636056,0.5155458450317383
UCI,Volatility,High Volatility,1306,8.705278121996606,10.349639753240584,9.387643945545278,-0.6823658235486717,-7.838529843457398,0.5137906074523926
UCI,Volatility,Low Volatility,1306,8.20290862908166,6.123660094425345,6.094118915185676,2.1087897138959835,25.70782888425357,0.5140084624290466
UCI,Volatility,Medium Volatility,1310,8.786108793630657,9.863747531673942,9.134817867130984,-0.3487090735003275,-3.968868149608144,0.5146991014480591
UCI,Load Level,Normal Load,1310,8.35482155760532,9.625158308601872,8.783710857143229,-0.4288892995379072,-5.133434587211418,0.5150178074836731
UCI,Load Level,Off-Peak Load,1306,8.423110640843724,6.080617310661685,6.2024731995043,2.220637441339426,26.363626646093653,0.5138190388679504
UCI,Load Level,Peak Load,1306,8.917684287258425,10.632002508079596,9.631472037248065,-0.7137877499896413,-8.004182778812885,0.5136603116989136
