candidate_id,dataset,mean_lambda,std_lambda,cv_lambda,min_lambda,max_lambda,median_lambda
Control_A_F2,PJM,0.5092198848724365,0.005575965158641338,0.010950014926493168,0.49511027336120605,0.5278258323669434,0.5090530514717102
Control_A_F2,GEFCom,0.5128667950630188,0.007860523648560047,0.015326637774705887,0.48665642738342285,0.5394970178604126,0.5129185914993286
Control_A_F2,UCI,0.5141665935516357,0.004379564896225929,0.008517793379724026,0.4782654643058777,0.5212207436561584,0.5148834586143494
Control_B_FixedShrinkage,PJM,0.5100000500679016,5.960464477539063e-08,1.1687183842923332e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Control_B_FixedShrinkage,GEFCom,0.5100000500679016,5.960464477539063e-08,1.1687183842923332e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Control_B_FixedShrinkage,UCI,0.5100001096725464,1.1920928955078125e-07,2.337436484367572e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Control_C_HorizonRouting,PJM,1.0,0.0,0.0,1.0,1.0,1.0
Control_C_HorizonRouting,GEFCom,1.0,0.0,0.0,1.0,1.0,1.0
Control_C_HorizonRouting,UCI,1.0,0.0,0.0,1.0,1.0,1.0
Control_D_DynamicConfidence,PJM,0.4994262456893921,0.011357867158949375,0.022741829976439476,0.4575948119163513,0.5212037563323975,0.5009870529174805
Control_D_DynamicConfidence,GEFCom,0.5011753439903259,0.014401007443666458,0.028734469786286354,0.4407162070274353,0.5290327072143555,0.5026288628578186
Control_D_DynamicConfidence,UCI,0.47411948442459106,0.027106953784823418,0.05717325583100319,0.3547636568546295,0.5335052609443665,0.4793359637260437
Candidate_E1_HGR_FS,PJM,0.5100000500679016,5.960464477539063e-08,1.1687183842923332e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Candidate_E1_HGR_FS,GEFCom,0.5100000500679016,5.960464477539063e-08,1.1687183842923332e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Candidate_E1_HGR_FS,UCI,0.5100001096725464,1.1920928955078125e-07,2.337436484367572e-07,0.5099999904632568,0.5099999904632568,0.5099999904632568
Candidate_E2_HGR_DGS,PJM,0.5915428400039673,0.010355829261243343,0.017506474629044533,0.5677011013031006,0.6336523294448853,0.5907661318778992
Candidate_E2_HGR_DGS,GEFCom,0.5883772969245911,0.013301710598170757,0.022607451304793358,0.5484910011291504,0.6332718133926392,0.5855562686920166
Candidate_E2_HGR_DGS,UCI,0.6453980803489685,0.013429499231278896,0.020808085799217224,0.5902007222175598,0.7143056392669678,0.6447608470916748
