Model,Parameters,MAE (MW),RMSE (MW),R^2,MAPE (%),MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std,Track
[Baseline] Persistence_Naive24,0,285.19 ± 0.00,388.86 ± 0.00,0.8274 ± 0.0000,5.31 ± 0.00,285.19,0.0,388.86,0.0,0.8274000000000001,1.2412670766236366e-16,Canonical Baseline
[Baseline] LSTM_Standalone,"56,152",301.45 ± 19.17,414.81 ± 21.86,0.8032 ± 0.0204,5.57 ± 0.38,301.45,19.1719339139274,414.814,21.86171493730534,0.8031600000000001,0.02039002206963,Canonical Baseline
[Baseline] TCN_Standalone,"36,952",259.86 ± 8.54,351.37 ± 11.19,0.8590 ± 0.0089,4.80 ± 0.16,259.862,8.543797165195345,351.368,11.194984144696242,0.8589600000000001,0.0089175669327457,Canonical Baseline
[Baseline] CNN_Standalone,"27,400",469.53 ± 58.34,628.85 ± 61.63,0.5452 ± 0.0896,8.85 ± 1.24,469.534,58.34472152645858,628.85,61.63345560651289,0.54518,0.0895527051517708,Canonical Baseline
[Baseline] Static_Equal_Ensemble,"120,504",295.48 ± 15.54,404.24 ± 14.61,0.8133 ± 0.0136,5.48 ± 0.33,295.48400000000004,15.540263189534482,404.244,14.60930285811065,0.81332,0.0135779969067606,Canonical Baseline
[Baseline] Standard_Input_MoE,"126,011",276.30 ± 13.64,370.01 ± 17.26,0.8435 ± 0.0145,5.15 ± 0.24,276.30400000000003,13.636048914549995,370.006,17.264739499917162,0.84346,0.0145379847296659,Canonical Baseline
[Baseline] CAEG_Net_No_Recent_Error,"121,515",254.55 ± 16.10,339.43 ± 19.53,0.8682 ± 0.0152,4.75 ± 0.34,254.552,16.09512255312149,339.43,19.52831277914198,0.8681599999999999,0.0151767256020526,Canonical Baseline
[Baseline] Full_CAEG_Net,"121,531",251.44 ± 9.74,334.32 ± 11.09,0.8723 ± 0.0086,4.71 ± 0.21,251.436,9.744220338231273,334.31800000000004,11.09216029455038,0.87234,0.0085620091100161,Canonical Baseline
[Research] CAEG-Net V1 (4D Operational),121531,258.02 ± 7.94,342.58 ± 6.44,0.8660 ± 0.0050,4.81 ± 0.21,258.02,7.94,342.58,6.44,0.866,0.005,Research Track
[Research] CAEG-Net Forecast-Aware (Variant D),121579,256.73 ± 7.66,341.49 ± 5.34,0.8669 ± 0.0042,4.80 ± 0.21,256.73,7.66,341.49,5.34,0.8669,0.0042,Research Track
[Research] CAEG-Net Calendar-Context (Variant C),121595,270.78 ± 5.59,355.18 ± 5.74,0.8560 ± 0.0047,5.03 ± 0.17,270.78,5.59,355.18,5.74,0.856,0.0047,Research Track
[Research] CAEG-Net No Recent Error (Variant B),121515,258.39 ± 10.74,343.02 ± 8.09,0.8657 ± 0.0064,4.86 ± 0.26,258.39,10.74,343.02,8.09,0.8657,0.0064,Research Track
