dataset,regime_category,regime_name,n_windows,mean_w_lstm,mean_w_tcn,mean_w_cnn,mean_entropy,mean_effective_experts
PJM,Volatility,high,1175,0.4327312409877777,0.287836492061615,0.2794322669506073,1.0771726369857788,2.9363675117492676
PJM,Volatility,low,11,0.43724900484085083,0.2853391766548157,0.2774118185043335,1.0752640962600708,2.930767059326172
PJM,Volatility,medium,108,0.43364638090133667,0.2858066260814667,0.28054702281951904,1.076842188835144,2.935396432876587
PJM,Expert_Disagreement,high,192,0.4310643672943115,0.2892857491970062,0.27964988350868225,1.0778435468673706,2.9383373260498047
PJM,Expert_Disagreement,low,828,0.433500200510025,0.28702375292778015,0.2794760465621948,1.0768691301345825,2.935476064682007
PJM,Expert_Disagreement,medium,274,0.4321175515651703,0.28837674856185913,0.27950572967529297,1.0774129629135132,2.9370734691619873
PJM,Load_Level,normal,410,0.4326539635658264,0.28785440325737,0.2794916331768036,1.0772132873535156,2.93648624420166
PJM,Load_Level,off_peak,625,0.4338935613632202,0.28681063652038574,0.27929580211639404,1.0766950845718384,2.9349656105041504
PJM,Load_Level,peak,259,0.43062207102775574,0.28933125734329224,0.2800467014312744,1.0780420303344727,2.938920259475708
PJM,Diurnal,afternoon,324,0.4330669343471527,0.2872908413410187,0.2796422243118286,1.0770516395568848,2.936012029647827
PJM,Diurnal,evening,322,0.4328056573867798,0.2877739369869232,0.2794204354286194,1.0771349668502808,2.9362573623657227
PJM,Diurnal,morning,324,0.43287724256515503,0.28748875856399536,0.2796339988708496,1.0771267414093018,2.936232566833496
PJM,Diurnal,night,324,0.4326339662075043,0.2880306839942932,0.2793353497982025,1.0772022008895874,2.9364540576934814
GEFCom,Volatility,high,2958,0.4531203806400299,0.2601061463356018,0.2867734432220459,1.0661673545837402,2.9043166637420654
GEFCom,Volatility,low,4689,0.44013071060180664,0.25903335213661194,0.30083590745925903,1.0708225965499878,2.917935371398926
GEFCom,Volatility,medium,3297,0.4142744541168213,0.2689507305622101,0.31677478551864624,1.080393671989441,2.9459967613220215
GEFCom,Expert_Disagreement,high,3055,0.42583879828453064,0.26693129539489746,0.3072299063205719,1.0762900114059448,2.9339640140533447
GEFCom,Expert_Disagreement,low,4264,0.4405934512615204,0.25989124178886414,0.2995153069496155,1.07056725025177,2.917201519012451
GEFCom,Expert_Disagreement,medium,3625,0.43871399760246277,0.26126357913017273,0.3000224232673645,1.0714216232299805,2.9196996688842773
GEFCom,Load_Level,normal,3632,0.4236487150192261,0.265850305557251,0.31050094962120056,1.0769513845443726,2.935898542404175
GEFCom,Load_Level,off_peak,3608,0.4440915584564209,0.2571643590927124,0.2987440824508667,1.0691653490066528,2.9130895137786865
GEFCom,Load_Level,peak,3704,0.4397925138473511,0.2638538181781769,0.29635363817214966,1.0712289810180664,2.9191436767578125
GEFCom,Diurnal,afternoon,2736,0.4356752932071686,0.2622845470905304,0.3020402193069458,1.0725064277648926,2.922881841659546
GEFCom,Diurnal,evening,2736,0.43555977940559387,0.26169514656066895,0.3027450740337372,1.0724741220474243,2.9227821826934814
GEFCom,Diurnal,morning,2736,0.4361940026283264,0.26297688484191895,0.30082911252975464,1.072401762008667,2.922576665878296
GEFCom,Diurnal,night,2736,0.4359796643257141,0.26228752732276917,0.3017328381538391,1.0724087953567505,2.9225921630859375
UCI,Volatility,high,2358,0.48831650614738464,0.2038620412349701,0.30782145261764526,1.0356053113937378,2.817172050476074
UCI,Volatility,low,903,0.40021374821662903,0.27988705039024353,0.31989920139312744,1.0861537456512451,2.9628610610961914
UCI,Volatility,medium,661,0.41540107131004333,0.26210302114486694,0.3224959075450897,1.0802757740020752,2.9455487728118896
UCI,Expert_Disagreement,high,2135,0.48268601298332214,0.21018406748771667,0.3071298897266388,1.0382550954818726,2.8249523639678955
UCI,Expert_Disagreement,low,849,0.41029664874076843,0.2654687166213989,0.32423466444015503,1.0814483165740967,2.9491047859191895
UCI,Expert_Disagreement,medium,938,0.43555107712745667,0.24794118106365204,0.3165077269077301,1.068221926689148,2.910766839981079
UCI,Load_Level,normal,365,0.4311674237251282,0.2528851628303528,0.31594741344451904,1.0737745761871338,2.926480293273926
UCI,Load_Level,off_peak,1252,0.4013270437717438,0.27660730481147766,0.3220656216144562,1.085716724395752,2.961566925048828
UCI,Load_Level,peak,2305,0.48919129371643066,0.20307129621505737,0.30773746967315674,1.0349550247192383,2.815321207046509
UCI,Diurnal,afternoon,978,0.4557691812515259,0.23136430978775024,0.3128665089607239,1.0548456907272339,2.872560501098633
UCI,Diurnal,evening,978,0.456089586019516,0.23069313168525696,0.31321725249290466,1.0544836521148682,2.8715219497680664
UCI,Diurnal,morning,982,0.45422282814979553,0.2328331023454666,0.31294408440589905,1.0558704137802124,2.8754897117614746
UCI,Diurnal,night,984,0.45688900351524353,0.22983789443969727,0.3132731318473816,1.0538898706436157,2.8698360919952393
