Feature,Target,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Trend_Slope,w_GRU,-0.221,0.0,-0.1235,0.0
Trend_Slope,w_TCN,-0.3085,0.0,-0.3159,0.0
Trend_Slope,w_Patch,0.2433,0.0,0.1666,0.0
Trend_Slope,Entropy_H,-0.235,0.0,-0.1454,0.0
Trend_Slope,MAE_Fused,0.2487,0.0,0.1774,0.0
Trend_Slope,MAE_GRU,0.4235,0.0,0.3015,0.0
Trend_Slope,MAE_TCN,0.1995,0.0,0.1788,0.0
Trend_Slope,MAE_Patch,0.3392,0.0,0.2079,0.0
Trend_Slope,Gain_over_Equal_Ensemble,0.1114,0.0001,0.0428,0.1235
Trend_Slope,Gain_over_Best_Single,-0.2487,0.0,-0.1774,0.0
ShortTerm_Volatility,w_GRU,-0.3486,0.0,-0.3795,0.0
ShortTerm_Volatility,w_TCN,-0.283,0.0,-0.359,0.0
ShortTerm_Volatility,w_Patch,0.3422,0.0,0.3864,0.0
ShortTerm_Volatility,Entropy_H,-0.3391,0.0,-0.3835,0.0
ShortTerm_Volatility,MAE_Fused,0.1567,0.0,0.161,0.0
ShortTerm_Volatility,MAE_GRU,0.3999,0.0,0.454,0.0
ShortTerm_Volatility,MAE_TCN,0.1305,0.0,0.1075,0.0001
ShortTerm_Volatility,MAE_Patch,0.2227,0.0,0.213,0.0
ShortTerm_Volatility,Gain_over_Equal_Ensemble,0.1193,0.0,0.1101,0.0001
ShortTerm_Volatility,Gain_over_Best_Single,-0.1567,0.0,-0.161,0.0
Recent48h_RangeRatio,w_GRU,-0.2282,0.0,-0.2607,0.0
Recent48h_RangeRatio,w_TCN,0.0246,0.3765,0.1299,0.0
Recent48h_RangeRatio,w_Patch,0.1811,0.0,0.185,0.0
Recent48h_RangeRatio,Entropy_H,-0.2007,0.0,-0.2236,0.0
Recent48h_RangeRatio,MAE_Fused,-0.0237,0.394,0.05,0.0722
Recent48h_RangeRatio,MAE_GRU,-0.1398,0.0,-0.0888,0.0014
Recent48h_RangeRatio,MAE_TCN,-0.0993,0.0003,-0.0557,0.0453
Recent48h_RangeRatio,MAE_Patch,-0.0527,0.0583,0.0104,0.7075
Recent48h_RangeRatio,Gain_over_Equal_Ensemble,-0.1116,0.0001,-0.0918,0.0009
Recent48h_RangeRatio,Gain_over_Best_Single,0.0237,0.394,-0.05,0.0722
Diurnal_Periodicity_r24,w_GRU,0.2903,0.0,0.2953,0.0
Diurnal_Periodicity_r24,w_TCN,-0.0093,0.7378,-0.0901,0.0012
Diurnal_Periodicity_r24,w_Patch,-0.2349,0.0,-0.2189,0.0
Diurnal_Periodicity_r24,Entropy_H,0.2623,0.0,0.2575,0.0
Diurnal_Periodicity_r24,MAE_Fused,-0.1996,0.0,-0.1798,0.0
Diurnal_Periodicity_r24,MAE_GRU,-0.1746,0.0,-0.1703,0.0
Diurnal_Periodicity_r24,MAE_TCN,-0.0778,0.0051,-0.0958,0.0006
Diurnal_Periodicity_r24,MAE_Patch,-0.1499,0.0,-0.1145,0.0
Diurnal_Periodicity_r24,Gain_over_Equal_Ensemble,-0.0656,0.0183,-0.0973,0.0005
Diurnal_Periodicity_r24,Gain_over_Best_Single,0.1996,0.0,0.1798,0.0
Weekly_Profile_r168,w_GRU,0.4078,0.0,0.3755,0.0
Weekly_Profile_r168,w_TCN,0.55,0.0,0.3228,0.0
Weekly_Profile_r168,w_Patch,-0.4451,0.0,-0.3695,0.0
Weekly_Profile_r168,Entropy_H,0.4283,0.0,0.3732,0.0
Weekly_Profile_r168,MAE_Fused,-0.0232,0.4043,-0.0461,0.0976
Weekly_Profile_r168,MAE_GRU,-0.0002,0.9955,0.0234,0.4
Weekly_Profile_r168,MAE_TCN,-0.0951,0.0006,-0.1752,0.0
Weekly_Profile_r168,MAE_Patch,-0.0308,0.2685,-0.0537,0.0535
Weekly_Profile_r168,Gain_over_Equal_Ensemble,0.0,0.9992,-0.0057,0.8374
Weekly_Profile_r168,Gain_over_Best_Single,0.0232,0.4043,0.0461,0.0976
Recent_Baseline_MAE,w_GRU,-0.8121,0.0,-0.7563,0.0
Recent_Baseline_MAE,w_TCN,-0.6746,0.0,-0.5819,0.0
Recent_Baseline_MAE,w_Patch,0.8002,0.0,0.7376,0.0
Recent_Baseline_MAE,Entropy_H,-0.809,0.0,-0.7478,0.0
Recent_Baseline_MAE,MAE_Fused,0.3524,0.0,0.2862,0.0
Recent_Baseline_MAE,MAE_GRU,0.3518,0.0,0.2781,0.0
Recent_Baseline_MAE,MAE_TCN,0.1661,0.0,0.1646,0.0
Recent_Baseline_MAE,MAE_Patch,0.3903,0.0,0.2884,0.0
Recent_Baseline_MAE,Gain_over_Equal_Ensemble,-0.0672,0.0156,0.0266,0.3386
Recent_Baseline_MAE,Gain_over_Best_Single,-0.3524,0.0,-0.2862,0.0
Disagreement_Pairwise_MAE,w_GRU,-0.7114,0.0,-0.6846,0.0
Disagreement_Pairwise_MAE,w_TCN,-0.6422,0.0,-0.7365,0.0
Disagreement_Pairwise_MAE,w_Patch,0.7115,0.0,0.7183,0.0
Disagreement_Pairwise_MAE,Entropy_H,-0.7118,0.0,-0.7027,0.0
Disagreement_Pairwise_MAE,MAE_Fused,0.4319,0.0,0.3217,0.0
Disagreement_Pairwise_MAE,MAE_GRU,0.7802,0.0,0.6781,0.0
Disagreement_Pairwise_MAE,MAE_TCN,0.4032,0.0,0.3406,0.0
Disagreement_Pairwise_MAE,MAE_Patch,0.5718,0.0,0.3796,0.0
Disagreement_Pairwise_MAE,Gain_over_Equal_Ensemble,0.2163,0.0,0.1943,0.0
Disagreement_Pairwise_MAE,Gain_over_Best_Single,-0.4319,0.0,-0.3217,0.0
Disagreement_Std,w_GRU,-0.7099,0.0,-0.6833,0.0
Disagreement_Std,w_TCN,-0.6398,0.0,-0.7339,0.0
Disagreement_Std,w_Patch,0.7098,0.0,0.7167,0.0
Disagreement_Std,Entropy_H,-0.7101,0.0,-0.7014,0.0
Disagreement_Std,MAE_Fused,0.4309,0.0,0.3222,0.0
Disagreement_Std,MAE_GRU,0.7812,0.0,0.68,0.0
Disagreement_Std,MAE_TCN,0.4018,0.0,0.3405,0.0
Disagreement_Std,MAE_Patch,0.5695,0.0,0.3785,0.0
Disagreement_Std,Gain_over_Equal_Ensemble,0.2183,0.0,0.1974,0.0
Disagreement_Std,Gain_over_Best_Single,-0.4309,0.0,-0.3222,0.0
Disagreement_Range,w_GRU,-0.7114,0.0,-0.6846,0.0
Disagreement_Range,w_TCN,-0.6422,0.0,-0.7365,0.0
Disagreement_Range,w_Patch,0.7115,0.0,0.7183,0.0
Disagreement_Range,Entropy_H,-0.7118,0.0,-0.7027,0.0
Disagreement_Range,MAE_Fused,0.4319,0.0,0.3217,0.0
Disagreement_Range,MAE_GRU,0.7802,0.0,0.6781,0.0
Disagreement_Range,MAE_TCN,0.4032,0.0,0.3406,0.0
Disagreement_Range,MAE_Patch,0.5718,0.0,0.3796,0.0
Disagreement_Range,Gain_over_Equal_Ensemble,0.2163,0.0,0.1943,0.0
Disagreement_Range,Gain_over_Best_Single,-0.4319,0.0,-0.3217,0.0
