Regime_Type,Regime_Level,Sample_Count,MAE_Fused_MW,MAE_Equal_Ens_MW,MAE_Best_Single_MW,MAE_Patch_MW,MAE_TCN_MW,MAE_GRU_MW,MAE_Oracle_MW,Gain_vs_Equal_MW,Gain_vs_Best_Single_MW,Regret_vs_Oracle_MW,w_GRU_mean,w_TCN_mean,w_Patch_mean,Mean_Disagreement
Volatility,High,431,277.85,313.8,314.08,332.09,314.08,528.98,252.2,35.95,36.23,25.65,0.0906,0.27,0.6394,0.5025
Volatility,Low,431,215.68,241.91,228.96,228.96,278.03,335.49,203.86,26.23,13.28,11.81,0.0953,0.271,0.6337,0.3025
Volatility,Medium,432,242.99,274.42,266.13,266.13,284.6,415.67,223.17,31.44,23.14,19.81,0.0951,0.2708,0.6341,0.3546
Disagreement,High,431,308.84,351.06,342.37,374.21,342.37,599.37,271.76,42.22,33.53,37.08,0.0889,0.2695,0.6416,0.5686
Disagreement,Low,431,195.29,220.28,203.19,203.19,252.34,296.23,187.31,24.99,7.91,7.98,0.0973,0.2716,0.6311,0.2479
Disagreement,Medium,432,232.41,258.83,249.82,249.82,282.0,384.61,220.17,26.42,17.41,12.24,0.0947,0.2707,0.6345,0.3431
Baseline_Error,High,431,312.35,344.91,325.14,362.69,325.14,524.63,271.39,32.55,12.79,40.97,0.088,0.2695,0.6425,0.4511
Baseline_Error,Low,431,214.91,242.39,232.36,232.36,281.17,361.47,208.54,27.48,17.45,6.37,0.098,0.2714,0.6306,0.3324
Baseline_Error,Medium,432,209.33,242.91,232.21,232.21,270.42,394.09,199.37,33.58,22.88,9.97,0.0949,0.271,0.6341,0.376
Diurnal,"Daytime_MidLoad (10-16, 22-00)",540,247.95,284.26,274.76,274.76,296.11,445.06,223.65,36.31,26.82,24.3,0.0935,0.2706,0.6359,0.3973
Diurnal,Evening_Peak (17-21),270,237.71,274.44,266.66,266.66,286.97,437.6,227.02,36.73,28.95,10.69,0.0929,0.2704,0.6367,0.4037
Diurnal,Morning_Ramp (06-09),216,248.48,267.11,278.06,278.06,284.39,384.79,224.17,18.63,29.57,24.31,0.0948,0.271,0.6343,0.3471
Diurnal,Off_Peak_Trough (01-05),268,246.03,271.52,284.89,284.89,296.02,412.52,233.16,25.49,38.87,12.87,0.0939,0.2706,0.6355,0.3792
