origin_idx,timestamp,Trend_Slope,ShortTerm_Volatility,Recent48h_RangeRatio,Diurnal_Periodicity_r24,Weekly_Profile_r168,Recent_Baseline_MAE,Disagreement_Pairwise_MAE,Disagreement_Std,Disagreement_Range,w_GRU,w_TCN,w_Patch,Entropy_H,N_eff,Max_Weight,Min_Weight,Router_Top_Expert,MAE_Fused,MAE_GRU,MAE_TCN,MAE_Patch,MAE_Equal_Ensemble,MAE_Oracle,Oracle_Best_Expert,Is_Router_Top_Oracle,Regret_vs_Oracle,Gain_over_Equal_Ensemble,Gain_over_Best_Single
191,2024-08-07 06:00:00+00:00,-0.00075079623,0.3540328,3.0170853,0.7368569,0.988918,0.74343616,0.6471875,0.40537888,0.9707812,0.08219864,0.26825327,0.64954805,0.83862287,2.3131793,0.64954805,0.08219864,Patch,150.49342,479.53708,360.2468,164.04857,168.24342,164.04857,Patch,1,-13.555145,17.75,125.22658
192,2024-08-07 07:00:00+00:00,-0.001290611,0.35414508,2.9886384,0.7360604,0.98929834,0.78066474,0.6346227,0.3996368,0.95193404,0.0819425,0.26833048,0.649727,0.83816123,2.3121119,0.649727,0.0819425,Patch,154.06819,508.08017,331.2029,156.42061,203.33885,156.42061,Patch,1,-2.352417,49.27066,121.65181
193,2024-08-07 08:00:00+00:00,-0.0018289785,0.3538559,2.8974447,0.7355505,0.9894077,0.7382409,0.67053074,0.42936286,1.0057962,0.08297687,0.2693221,0.647701,0.8411684,2.319075,0.647701,0.08297687,Patch,168.20885,580.6169,335.5736,182.02007,229.343,182.02007,Patch,1,-13.811218,61.134155,107.511154
194,2024-08-07 09:00:00+00:00,-0.0023110022,0.35355586,2.8449008,0.7349784,0.98933965,0.69822603,0.6950137,0.44650626,1.0425205,0.084104866,0.26996413,0.645931,0.84403884,2.3257415,0.645931,0.084104866,Patch,198.06322,635.66254,317.9454,192.36766,260.70853,192.36766,Patch,1,5.6955566,62.64531,77.656784
195,2024-08-07 10:00:00+00:00,-0.0027032853,0.35283044,2.8695424,0.7348564,0.98948765,0.671321,0.7481126,0.47724062,1.1221689,0.0836443,0.2703549,0.64600086,0.8434392,2.324347,0.64600086,0.0836443,Patch,249.2633,643.8494,424.98624,218.31104,298.33896,218.31104,Patch,1,30.95227,49.075653,26.456696
196,2024-08-07 11:00:00+00:00,-0.0029917497,0.3519987,2.8876278,0.7346942,0.9897598,0.6569812,0.67669237,0.44179338,1.0150385,0.084848575,0.26941893,0.6457325,0.8450755,2.3281536,0.6457325,0.084848575,Patch,262.07205,648.6131,410.0969,211.42891,329.63937,211.42891,Patch,1,50.643143,67.56732,13.647949
197,2024-08-07 12:00:00+00:00,-0.003186771,0.35094497,2.8952086,0.73444295,0.98683494,0.61179,0.62037414,0.40425855,0.9305612,0.086714186,0.26950508,0.64378077,0.8489137,2.3371067,0.64378077,0.086714186,Patch,213.7506,656.5007,335.9303,163.61421,303.41904,163.61421,Patch,1,50.136383,89.66844,61.969406
198,2024-08-07 13:00:00+00:00,-0.0032806885,0.34995145,2.8941388,0.73383576,0.9793004,0.5327688,0.6284313,0.40877426,0.942647,0.0877805,0.26970798,0.64251155,0.85122025,2.3425035,0.64251155,0.0877805,Patch,171.53094,669.1645,296.11786,139.27513,268.62616,139.27513,Patch,1,32.255814,97.095215,104.18906
199,2024-08-07 14:00:00+00:00,-0.003273966,0.34780225,2.8898547,0.73274136,0.9661353,0.41990545,0.56620544,0.3726357,0.849308,0.09063856,0.27015898,0.6392025,0.8572459,2.3566616,0.6392025,0.09063856,Patch,169.09163,661.99316,214.81621,160.35481,262.98074,160.35481,Patch,1,8.736816,93.889114,106.62837
200,2024-08-07 15:00:00+00:00,-0.003143268,0.3467507,2.8921657,0.7313382,0.94323975,0.34298146,0.53664035,0.34910834,0.8049604,0.09219796,0.27038223,0.63741976,0.86046827,2.3642676,0.63741976,0.09219796,Patch,210.13496,646.2596,197.82167,244.52177,288.2118,197.82167,TCN,0,12.313293,78.07683,65.58504
201,2024-08-07 16:00:00+00:00,-0.0029010887,0.34641442,2.9056919,0.73008084,0.9170763,0.30642152,0.5086731,0.32562053,0.7630095,0.09267248,0.2703201,0.6370074,0.8613311,2.3663085,0.6370074,0.09267248,Patch,214.82372,615.2753,222.79295,249.63808,298.69382,222.79295,TCN,0,-7.9692383,83.8701,60.896286
202,2024-08-07 17:00:00+00:00,-0.0025649949,0.34647024,2.9296753,0.7291711,0.8935842,0.30098888,0.50526726,0.32439134,0.7579009,0.09207269,0.2700914,0.63783586,0.8599763,2.3631046,0.63783586,0.09207269,Patch,230.71222,601.23193,242.6061,267.02032,299.65485,242.6061,TCN,0,-11.893875,68.94263,45.007782
203,2024-08-07 18:00:00+00:00,-0.0021495933,0.34641957,2.9637837,0.728835,0.88223696,0.2925822,0.5189394,0.32988226,0.778409,0.09139746,0.26994058,0.63866186,0.8585368,2.3597054,0.63866186,0.09139746,Patch,217.11253,576.22174,209.81847,273.5927,274.7476,209.81847,TCN,0,7.2940674,57.635056,58.607468
204,2024-08-07 19:00:00+00:00,-0.0016495804,0.34702116,3.0035546,0.72894627,0.8781069,0.30388033,0.5077143,0.3239756,0.7615714,0.090999044,0.26987424,0.6391267,0.8577039,2.3577409,0.6391267,0.090999044,Patch,216.75592,550.4716,211.47899,294.94537,264.6254,211.47899,TCN,0,5.276932,47.869476,58.96408
205,2024-08-07 20:00:00+00:00,-0.0011066674,0.34728375,3.051351,0.7283942,0.8884388,0.27778736,0.4935078,0.31352556,0.74026173,0.09156912,0.27005896,0.63837194,0.85897213,2.3607328,0.63837194,0.09156912,Patch,187.8452,512.0391,216.28828,255.08516,246.01845,216.28828,TCN,0,-28.443085,58.17325,87.8748
206,2024-08-07 21:00:00+00:00,-0.0005418026,0.3470808,3.0992997,0.7275136,0.9093012,0.27278984,0.50293875,0.31822968,0.75440806,0.09150879,0.2701836,0.63830763,0.8589621,2.3607092,0.63830763,0.09150879,Patch,133.66707,506.6857,239.2465,167.51247,220.7014,167.51247,Patch,1,-33.845398,87.03433,142.05293
207,2024-08-07 22:00:00+00:00,-3.2381733e-05,0.3468836,3.1621115,0.7255998,0.9367164,0.19419967,0.4843771,0.30489737,0.72656554,0.093306355,0.27067012,0.6360236,0.86284983,2.369905,0.6360236,0.093306355,Patch,117.60757,532.40546,217.20393,91.80951,223.34035,91.80951,Patch,1,25.798058,105.73278,158.11243
208,2024-08-07 23:00:00+00:00,0.00039161276,0.34598,3.2178557,0.7230661,0.96183527,0.20574363,0.54177475,0.35543466,0.81266207,0.091916494,0.2704526,0.637631,0.85998386,2.3631225,0.637631,0.091916494,Patch,124.70522,548.4002,176.68138,133.23393,206.37901,133.23393,Patch,1,-8.528709,81.67379,151.01477
209,2024-08-08 00:00:00+00:00,0.000711621,0.34523025,3.2542086,0.7206695,0.97942144,0.20903693,0.56347275,0.3664729,0.8452091,0.091526024,0.2705115,0.6379624,0.8592773,2.3614535,0.6379624,0.091526024,Patch,161.18083,573.60516,195.36536,179.57227,222.36336,179.57227,Patch,1,-18.391434,61.182526,114.53917
210,2024-08-08 01:00:00+00:00,0.0009088501,0.3422542,3.272547,0.71887153,0.9882098,0.21482806,0.5239527,0.33540827,0.7859291,0.09235501,0.2708251,0.6368199,0.861151,2.3658822,0.6368199,0.09235501,Patch,125.550964,551.0022,204.96788,144.81866,212.9779,144.81866,Patch,1,-19.2677,87.42694,150.16904
211,2024-08-08 02:00:00+00:00,0.0009283772,0.3402477,3.271899,0.7182246,0.9930945,0.2220348,0.5389269,0.33698854,0.8083903,0.091921695,0.27076122,0.6373171,0.86025846,2.3637714,0.6373171,0.091921695,Patch,81.293175,494.7792,302.08377,131.6684,202.77368,131.6684,Patch,1,-50.37522,121.48051,194.42682
212,2024-08-08 03:00:00+00:00,0.0007704235,0.3399081,3.2570152,0.7186414,0.994375,0.24192174,0.5828242,0.37333986,0.8742362,0.09088958,0.27051732,0.638593,0.858044,2.358543,0.638593,0.09088958,Patch,92.45481,450.04456,295.7084,248.9381,173.3488,248.9381,Patch,1,-156.48328,80.89399,183.2652
