ablation_group,variant,val_mae_mw,val_rmse_mw,gain_vs_v1_mw,params
Routing_Regularization,Entropy_Beta_0.0001,402.98841879921804,529.0615327138069,-5.0137825228392785,121531
Context_Features,3D_No_Recent_Error,403.5673232945752,518.284096093301,-5.592687018196443,121515
Conservative_Routing,Bounded_Rho_0.20,411.3479952372453,523.8356681407677,-13.37335896086654,121531
Conservative_Routing,Bounded_Rho_0.30,420.2449092796204,536.9257995102226,-22.27027300324164,121531
Expert_Disagreement,4D_Plus_Detached_Disagreement,426.46564271780466,539.7887006448638,-28.491006441425895,121579
Horizon_Aware_Routing,Horizon_Dependent_24x3,427.27301086708786,546.0842272589869,-29.298374590709102,125232
Training_Stabilization,GradClip1.0_PlateauSched,429.0646013970353,548.6631383266817,-31.08996512065653,121531
Conservative_Routing,Bounded_Rho_0.10,430.7017904887919,560.0894663163373,-32.727154212413154,121531
Routing_Regularization,Entropy_Beta_0.0010,435.59746660392716,559.0768825268397,-37.6228303275484,121531
Auxiliary_Supervision,Lambda_Aux_0.15,440.43003737514994,556.9328300160487,-42.455401098771176,121531
Context_Features,6D_Extended_Context,447.23711677877515,576.3538708885034,-49.262480502396386,121563
Routing_Regularization,KL_Uniform_Lambda_0.005,447.61014942481677,564.8399982942194,-49.63551314843801,121531
Routing_Regularization,KL_Uniform_Lambda_0.025,448.91781710546576,575.6947523002812,-50.943180829087,121531
Auxiliary_Supervision,Lambda_Aux_0.05,449.66682126705086,569.4983385016824,-51.692184990672104,121531
Auxiliary_Supervision,Lambda_Aux_0.10,453.226109508139,581.1059348017575,-55.25147323176026,121531
Conservative_Routing,Bounded_Rho_0.50,453.91414394309874,572.8491035610247,-55.939507666719976,121531
