seed,model,MAE,MSE,RMSE,R2,MAPE
42,Standalone_LSTM,313.99957885427733,192156.0923929838,438.3561250775262,0.780686114785125,5.775179694318161
42,Standalone_TCN,253.78319079061563,121603.4253656816,348.71682690355163,0.8612101269324183,4.646875767703457
42,Standalone_CNN,409.7501903850353,312067.30705307145,558.6298479790275,0.6438276158406546,7.835378437501205
42,Static_Equal_Ensemble,278.01316857866135,148786.41502253804,385.7284213310422,0.8301853126829242,5.172292519924188
42,Original_CAEGNet_V1,255.02733383689696,112939.04876444802,336.0640545557469,0.8710990566651025,4.7809259613100545
42,CAEGNet_Phase5_Candidate,277.2924238830912,140656.50597332095,375.04200561179937,0.8394642375289858,5.0264145783464365
123,Standalone_LSTM,285.0943271611414,155067.84835583734,393.7865517711814,0.8230161122069554,5.222811616681767
123,Standalone_TCN,254.6051247393821,114435.82816583676,338.28365045599935,0.869390734531049,4.669881442083741
123,Standalone_CNN,436.3940690839985,355335.4670818385,596.1002156364636,0.5944442829271136,7.868025316603378
123,Static_Equal_Ensemble,275.5769927050882,148675.19060048653,385.5842198540891,0.8303122566680309,4.961771859217493
123,Original_CAEGNet_V1,243.86894394306103,107861.40207616043,328.42259678067285,0.876894336997299,4.495405888439357
123,CAEGNet_Phase5_Candidate,254.19492160457116,117655.74511337063,343.0098323858525,0.86571574048304,4.668991389150822
2024,Standalone_LSTM,279.90940985858964,143513.28795940138,378.8314769912888,0.8362037010100717,5.1204875006019455
2024,Standalone_TCN,256.2896047569562,118685.30234421922,344.5073327872996,0.8645406739340873,4.7380124815370355
2024,Standalone_CNN,374.2575342177362,254117.147948704,504.10033519995204,0.709967983204115,7.113147409775676
2024,Static_Equal_Ensemble,258.9079508243425,129863.49643148908,360.3657814380953,0.8517826440197851,4.775689841126128
2024,Original_CAEGNet_V1,248.88639503726634,110873.29219003349,332.976413864456,0.8734567706183842,4.619884705673725
2024,CAEGNet_Phase5_Candidate,276.5062216159795,136775.04438248294,369.8311025082706,0.8438942736064163,5.07742695917251
3407,Standalone_LSTM,312.89442861282845,182054.29354175582,426.6782084214705,0.792215620439263,5.853097606550358
3407,Standalone_TCN,256.10176827746653,124685.25398821963,353.10799196310984,0.8576927374999097,4.673662556227059
3407,Standalone_CNN,783.6018200362853,908429.344635218,953.1155987786676,-0.036819423907201276,15.73683473593027
3407,Static_Equal_Ensemble,396.5638867495663,247480.17330880856,497.4737915798264,0.7175429743283684,7.68249080255885
3407,Original_CAEGNet_V1,246.0851719977621,108207.43514003317,328.9489856194014,0.8764993984101033,4.613837420554687
3407,CAEGNet_Phase5_Candidate,260.43027182278837,125633.67834127431,354.4484142174631,0.8566102704955567,4.784106996252967
999,Standalone_LSTM,271.38201106374623,147538.64679172073,384.1075979354232,0.8316094304152342,5.0444681215907945
999,Standalone_TCN,251.80085428936587,114652.87310810894,338.6043016680517,0.8691430142065818,4.662225964592898
999,Standalone_CNN,507.3260396557454,450199.80487283034,670.9693024817383,0.4861725844855691,9.863009721985971
999,Static_Equal_Ensemble,295.3328022630113,162528.387503586,403.14809624204605,0.8145011606073767,5.589957121109323
999,Original_CAEGNet_V1,245.4736616713432,109399.05224428975,330.7552754595,0.8751393677518583,4.538567237624266
999,CAEGNet_Phase5_Candidate,294.83188436155405,151155.2599341659,388.7869081311328,0.8274816743305262,5.487852049128323
