model,seed,mae_mw,mse_mw2,rmse_mw,r2,mape_pct
Standalone_GRU,42,288.74505615234375,156778.75,395.95296437834634,0.8210633993148804,5.349551677703857
Standalone_TCN,42,237.38572692871094,98109.421875,313.22423577207434,0.8880245685577393,4.401125431060791
Standalone_Patch,42,260.07635498046875,125669.8125,354.4993829331724,0.8565690517425537,4.795213222503662
Static_Equal_Ensemble,42,230.6822052001953,99842.5234375,315.9786756056491,0.8860465288162231,4.251549243927002
Learned_Static_Weights,42,231.54779052734375,99405.8359375,315.28691050771516,0.886544942855835,4.271636009216309
Decoupled_CAEG,42,227.47230529785156,95382.28125,308.8402196120188,0.8911371231079102,4.197909832000732
CAEG_Net_SR,42,225.4969024658203,95410.90625,308.88655886910976,0.8911044597625732,4.149311542510986
CAEG_Net_BR_Optimal,42,226.3302764892578,94826.125,307.93850847206494,0.8917719125747681,4.178195476531982
CAEG_Net_BR_No_KL,42,228.27415466308594,96532.578125,310.6969232628479,0.8898242712020874,4.21204137802124
CAEG_Net_BR_Rho_0_10,42,230.3326873779297,99934.609375,316.12435745288593,0.8859414458274841,4.244173526763916
CAEG_Net_BR_Rho_0_20,42,228.7029571533203,97953.5625,312.975338485319,0.8882024884223938,4.215246200561523
Standalone_GRU,43,280.8016662597656,145955.515625,382.04124859103894,0.8334163427352905,5.245390892028809
Standalone_TCN,43,250.86021423339844,108443.0078125,329.306859649932,0.8762305378913879,4.74227237701416
Standalone_Patch,43,257.51300048828125,125528.9453125,354.30064255163296,0.8567298054695129,4.784257888793945
Static_Equal_Ensemble,43,237.2001953125,105372.0,324.6105358733755,0.8797355890274048,4.429777145385742
Learned_Static_Weights,43,242.30641174316406,110123.84375,331.84912799343016,0.874312162399292,4.517573833465576
Decoupled_CAEG,43,244.16714477539062,112187.3671875,334.9438269135587,0.8719569444656372,4.548637866973877
CAEG_Net_SR,43,236.1078643798828,105144.2734375,324.2595772486913,0.8799954652786255,4.403239727020264
CAEG_Net_BR_Optimal,43,244.0010986328125,111972.3828125,334.6227470039955,0.8722023367881775,4.546135902404785
