model,seed,best_epoch,actual_epochs,best_val_loss,test_mae_mw,test_mse_mw2,test_rmse_mw,test_r2,test_mape_pct,training_time_s,param_count
Naive-24,42,0,0,0.0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281,0.0,0
Naive-24,43,0,0,0.0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281,0.0,0
Naive-24,44,0,0,0.0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281,0.0,0
Naive-24,45,0,0,0.0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281,0.0,0
Naive-24,46,0,0,0.0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281,0.0,0
Standalone_GRU,42,18,25,0.544745921379044,288.74505615234375,156778.75,395.95296437834634,0.8210633993148804,5.349551677703857,7.875036001205444,31344
Standalone_TCN,42,12,19,0.3378415991153036,239.65933227539062,101095.9296875,317.95586122526504,0.8846160173416138,4.41642951965332,13.683902263641357,44870
Standalone_Patch,42,8,15,0.47946175649052575,273.618896484375,141480.265625,376.13862554249863,0.8385240435600281,5.056303024291992,3.5163261890411377,63624
Static_Equal_Ensemble,42,0,0,0.0,240.0390625,107030.0234375,327.1544336204234,0.8778432011604309,4.42902946472168,0.0,0
Standard_Input_MoE,42,10,17,0.4189200947682063,245.2658233642578,114803.67107540369,338.826904296875,0.8689708709716797,4.480759620666504,40.367899599998054,147457
CAEG_Net_V2_Full,42,3,10,0.39307393843219396,246.60333251953125,113711.77207680885,337.2117614746094,0.8702170848846436,4.62107515335083,21.409106600000086,142433
CAEG_Net_V2_NoRecentError,42,7,14,0.4286705216481572,250.4750213623047,116078.91051310673,340.70355224609375,0.8675154447555542,4.5680623054504395,72.1191859999999,142433
Standalone_GRU,43,14,21,0.5061982494025004,280.8016662597656,145955.515625,382.04124859103894,0.8334163427352905,5.245390892028809,36.632238149642944,31344
Standalone_TCN,43,12,19,0.4286341198853084,240.80052185058594,105248.34375,324.42001132790807,0.8798767328262329,4.414743423461914,44.66036057472229,44870
Standalone_Patch,43,4,11,0.4699034843416441,261.1580505371094,133213.546875,364.98431045046306,0.8479591608047485,4.8327317237854,6.275132894515991,63624
Static_Equal_Ensemble,43,0,0,0.0,235.33538818359375,108089.5546875,328.76975938717356,0.8766339421272278,4.341219902038574,0.0,0
Standard_Input_MoE,43,7,14,0.42068834389959064,249.3582305908203,114810.16479808465,338.83648681640625,0.8689634799957275,4.550131320953369,49.50100559999919,147457
CAEG_Net_V2_Full,43,6,13,0.3796101396992093,240.57786560058594,104696.77942451928,323.5688171386719,0.8805062174797058,4.468837738037109,31.740466899998864,142433
CAEG_Net_V2_NoRecentError,43,6,13,0.3985978939703533,238.04974365234375,109709.01406838,331.2235107421875,0.8747856020927429,4.3895134925842285,17.432677099997818,142433
Standalone_GRU,44,17,24,0.5420059398526237,267.6759338378906,134750.0,367.08309685955305,0.8462055325508118,4.954142093658447,8.287570476531982,31344
Standalone_TCN,44,10,17,0.4310595790545146,248.68455505371094,110231.9453125,332.01196561645185,0.8741887807846069,4.536871910095215,12.43677020072937,44870
Standalone_Patch,44,9,16,0.4227195126669748,260.7144470214844,126713.8203125,355.9688473904704,0.8553774952888489,4.799091815948486,4.327354192733765,63624
Static_Equal_Ensemble,44,0,0,0.0,234.34500122070312,104478.625,323.2315346620747,0.8807551860809326,4.291369915008545,0.0,0
Standard_Input_MoE,44,13,20,0.39330277698380606,244.7452850341797,111985.8593438603,334.64288330078125,0.8721869587898254,4.486835956573486,29.44642400000157,147457
CAEG_Net_V2_Full,44,7,14,0.37753586896828245,245.22320556640625,112758.78293069545,335.7957458496094,0.8713048100471497,4.530136585235596,26.84055470000021,142433
CAEG_Net_V2_NoRecentError,44,17,24,0.35526368731544133,246.77003479003906,112295.14340320602,335.10467529296875,0.8718339800834656,4.550568580627441,42.27619830000185,142433
Standalone_GRU,45,16,23,0.5841084136849358,287.2314147949219,153161.203125,391.3581519848539,0.8251922130584717,5.331057071685791,9.873708724975586,31344
Standalone_TCN,45,7,14,0.3653435153620584,246.91610717773438,105915.859375,325.4471683315128,0.8791148662567139,4.638141632080078,13.369037389755249,44870
Standalone_Patch,45,18,25,0.37816799751349855,265.2979431152344,128025.5703125,357.8066102135342,0.8538803458213806,4.936007022857666,8.147114276885986,63624
