model,seed,trainable_params,total_deployed_params,test_mae_mw,test_mse_mw2,test_rmse_mw,test_r2,test_mape_pct
Static_Equal_Ensemble,42,0,139838,230.6822052001953,99842.5234375,315.9786756056491,0.8860465288162231,4.251549243927002
CAEG_Net_SR_Optimal,42,2595,142433,225.4082489013672,93916.5078125,306.4580078125,0.8928101062774658,4.163508892059326
CAEG_Net_SR_Shrinkage_Only,42,2595,142433,226.00857543945312,94371.5859375,307.1995849609375,0.8922907114028931,4.1711320877075195
CAEG_Net_SR_KL_Only,42,2595,142433,224.69500732421875,94260.609375,307.0189208984375,0.8924173712730408,4.138393878936768
Decoupled_CAEG_Unconstrained,42,2595,142433,227.47230529785156,95382.28125,308.8402196120188,0.8911371231079102,4.197909832000732
CAEG_Net_V2_Full,42,142433,142433,243.7825927734375,111071.0625,333.2732550025579,0.873231053352356,4.467957496643066
Standalone_TCN,42,0,44870,237.38572692871094,98109.421875,313.22423577207434,0.8880245685577393,4.401125431060791
Learned_Static_Weights,42,3,139841,231.54779052734375,99405.8359375,315.2868957519531,0.886544942855835,4.271636009216309
Standalone_Patch,42,0,63624,260.07635498046875,125669.8125,354.4993829331724,0.8565690517425537,4.795213222503662
Standalone_GRU,42,0,31344,288.74505615234375,156778.75,395.95296437834634,0.8210633993148804,5.349551677703857
Static_Equal_Ensemble,43,0,139838,237.2001953125,105372.0,324.6105358733755,0.8797355890274048,4.429777145385742
CAEG_Net_SR_Optimal,43,2595,142433,241.90345764160156,109266.78125,330.5552673339844,0.8752903342247009,4.5204620361328125
CAEG_Net_SR_Shrinkage_Only,43,2595,142433,241.90223693847656,109667.3125,331.1605529785156,0.8748332262039185,4.515635967254639
CAEG_Net_SR_KL_Only,43,2595,142433,236.48507690429688,105501.5703125,324.81005859375,0.879587709903717,4.410059928894043
Decoupled_CAEG_Unconstrained,43,2595,142433,244.16714477539062,112187.3671875,334.9438269135587,0.8719569444656372,4.548637866973877
CAEG_Net_V2_Full,43,142433,142433,231.8920440673828,102002.3828125,319.3781188693114,0.8835813999176025,4.302156925201416
Standalone_TCN,43,0,44870,250.86021423339844,108443.0078125,329.306859649932,0.8762305378913879,4.74227237701416
