setting,seed,corr_GRU_TCN,corr_GRU_Patch,corr_TCN_Patch,mean_pairwise_corr,var_GRU,var_TCN,var_Patch,var_ensemble_theoretical,var_ensemble_actual,variance_reduction_pct
Standalone,42,0.704310889180983,0.7018510983922472,0.7301767322386912,0.7121129066039739,156498.4375,99131.3046875,141315.078125,106000.84034212411,105998.8515625,-6.927727720974874
Co-Trained_Internal,42,0.49389140947501203,0.4532132656156776,0.2772836310997712,0.4081294353968203,347356.71875,191528.625,140528.03125,136161.82164602386,136159.875,3.108387850555616
Standalone,43,0.7742609374682553,0.7584997560057313,0.8252574143159128,0.7860060359299664,144607.015625,108531.8515625,130118.6484375,109055.77118551166,109053.6328125,-0.48076324368200307
Co-Trained_Internal,43,0.3466852884170458,0.29934175916176864,0.3491132836413233,0.3317134437400459,364300.0,170091.53125,136734.03125,120426.34377170587,120424.8671875,11.927655400344971
Standalone,44,0.8280960464430062,0.7081337697435586,0.7631378940748107,0.7664559034204584,134676.1875,111361.3125,120713.4140625,103015.05426517964,103013.046875,7.496558218995486
Co-Trained_Internal,44,0.564852030969557,0.5992255686707803,0.513866980547311,0.5593148600625494,239147.1875,140898.71875,122304.5859375,116624.05302827801,116622.0859375,4.646187186230177
Standalone,45,0.7868069987215351,0.6141529741255864,0.7233113844544337,0.7080904524338517,153160.15625,110090.3359375,128010.109375,104370.70261771363,104368.75,5.1971736563218744
Co-Trained_Internal,45,0.6201966396873659,0.48162396787328604,0.5283865495749654,0.5434023857118725,212194.140625,140309.703125,135516.484375,112347.6455260506,112345.7734375,17.098075591587968
Standalone,46,0.8082801979106325,0.6697108864683766,0.7322490668225236,0.7367467170671776,143915.328125,106831.6796875,126887.515625,103289.7239360007,103287.7421875,3.3173095381132223
Co-Trained_Internal,46,0.512418342244904,0.5139226913552677,0.3847287437572621,0.47035659245247796,258228.578125,155933.84375,135566.078125,117731.10974685896,117729.28125,13.157271436703667
