experiment_id,description,val_mae_mw,val_rmse_mw,val_mse_mw2,val_r2,params,best_epoch,train_time_s,seed,gain_vs_control_mw,improved_over_control
CNN_H2_TemporalPool8,Adaptive temporal pooling (size=8),541.2596662266852,714.3995795495349,510366.75926055224,0.6342722589846144,48904,7,18.226922512054443,42,189.3042102402968,True
CNN_C_DilatedConv,Dilated conv (dilation=2 in stages 2-3),548.1422486263474,714.4979858250446,510507.3717480456,0.6341714963732641,23304,22,34.69563102722168,42,182.42162784063464,True
CNN_G_CosineScheduler,CosineAnnealingLR scheduler,574.1725812044295,740.6185110212404,548515.7788673191,0.606934752163149,27400,34,43.724175691604614,42,156.3912952625525,True
CNN_H1_TemporalPool4,Adaptive temporal pooling (size=4),596.4938895428445,765.6043017713017,586149.9468907224,0.5799661868981726,36616,12,21.76649832725525,42,134.06998692413754,True
CNN_E_ZeroDropout,Dropout = 0.0 in head,671.1290511416751,859.3368863059271,738459.8841659658,0.47082120775694314,27400,39,46.11716675758362,42,59.434825325306974,True
CNN_Control,Canonical V1 CNN architecture,730.563876466982,929.0631250560599,863158.290338932,0.38146259344606215,27400,39,68.78905439376831,42,0.0,False
CNN_F_LowerLR,Lower learning rate (lr=5e-4),740.0413180886317,927.1771119100475,859657.3968498568,0.3839713263211224,27400,36,38.84673738479614,42,-9.477441621649632,False
CNN_B_GroupNorm,GroupNorm (group=4) instead of BatchNorm,785.5316687873318,978.7787858945637,958007.9117172363,0.31349355523301037,27400,25,58.786457538604736,42,-54.96779232034976,False
CNN_D_HeadCapacity,Expanded MLP head (64->128->64->24),875.6107017914086,1098.162802135155,1205961.5399933357,0.1358105092654912,41240,16,25.489565134048462,42,-145.04682532442655,False
CNN_A_LessPooling,Reduced pooling (stride 1 in stage 1),1024.4394244469668,1275.6856211863546,1627373.8041016157,-0.16617262853094572,27400,10,9.594985485076904,42,-293.87554797998473,False
