horizon_step,v3_mae_mw,equal_ensemble_mae_mw,v2_mae_mw,v3_gain_over_equal_mw,v3_gain_over_v2_mw,mean_w_gru,mean_w_tcn,mean_w_patch
1,115.90665435791016,103.84928894042969,115.58992767333984,-12.057365417480469,-0.3167266845703125,0.3600507378578186,0.23344914615154266,0.4065001606941223
2,145.66754150390625,122.365966796875,135.5237274169922,-23.30157470703125,-10.143814086914062,0.25535130500793457,0.25921720266342163,0.485431432723999
3,174.18930053710938,148.98690795898438,160.9207763671875,-25.202392578125,-13.268524169921875,0.15990141034126282,0.29211631417274475,0.5479822754859924
4,199.2646942138672,176.78526306152344,182.5377655029297,-22.47943115234375,-16.7269287109375,0.11908125877380371,0.2887241244316101,0.5921946167945862
5,216.55960083007812,200.86282348632812,201.81243896484375,-15.69677734375,-14.747161865234375,0.10580319166183472,0.2833261489868164,0.6108707189559937
6,236.0538787841797,222.594970703125,212.4639434814453,-13.458908081054688,-23.589935302734375,0.08362572640180588,0.2779146730899811,0.6384596228599548
7,249.09774780273438,236.7935333251953,229.2468719482422,-12.304214477539062,-19.850875854492188,0.08065398037433624,0.28403180837631226,0.6353142261505127
8,257.50592041015625,249.0033416748047,239.1669158935547,-8.502578735351562,-18.339004516601562,0.07570730149745941,0.2775695323944092,0.6467231512069702
9,259.4744567871094,255.5832977294922,248.67953491210938,-3.8911590576171875,-10.794921875,0.07892007380723953,0.27865278720855713,0.6424271464347839
10,262.1655578613281,260.1910400390625,257.55181884765625,-1.974517822265625,-4.613739013671875,0.0837244987487793,0.28295284509658813,0.6333225965499878
11,267.4617004394531,262.0199890136719,261.451171875,-5.44171142578125,-6.010528564453125,0.08282937109470367,0.2672267258167267,0.6499439477920532
12,266.9096984863281,263.3804626464844,263.40606689453125,-3.52923583984375,-3.503631591796875,0.08302546292543411,0.26456016302108765,0.6524143815040588
13,269.1252136230469,265.296630859375,267.7500915527344,-3.828582763671875,-1.3751220703125,0.07509398460388184,0.27490854263305664,0.6499974131584167
14,271.2134094238281,266.93450927734375,266.83050537109375,-4.278900146484375,-4.382904052734375,0.09036039561033249,0.26693934202194214,0.6427003145217896
15,276.4620056152344,267.1022033691406,272.95050048828125,-9.35980224609375,-3.511505126953125,0.08805971592664719,0.25789469480514526,0.654045581817627
16,279.5854187011719,266.5393981933594,269.9205627441406,-13.0460205078125,-9.66485595703125,0.0892748087644577,0.2612353265285492,0.6494898796081543
17,278.15618896484375,268.4732360839844,268.1243591308594,-9.682952880859375,-10.031829833984375,0.0990547463297844,0.26073890924453735,0.6402063369750977
18,278.406982421875,269.46142578125,270.3851623535156,-8.945556640625,-8.021820068359375,0.10820891708135605,0.25593626499176025,0.6358548402786255
19,276.3809509277344,271.2151184082031,269.2098083496094,-5.16583251953125,-7.171142578125,0.10926445573568344,0.2445441484451294,0.646191418170929
20,276.48040771484375,269.2384948730469,268.79388427734375,-7.241912841796875,-7.6865234375,0.11325258016586304,0.24843886494636536,0.6383085250854492
21,275.5990295410156,266.73980712890625,271.1529541015625,-8.859222412109375,-4.446075439453125,0.1336965560913086,0.24111267924308777,0.625190794467926
22,278.41461181640625,262.87518310546875,268.87060546875,-15.5394287109375,-9.54400634765625,0.1137833446264267,0.2417176067829132,0.6444990038871765
23,275.5525207519531,260.27093505859375,273.14825439453125,-15.281585693359375,-2.404266357421875,0.11765662580728531,0.24515073001384735,0.6371926069259644
24,277.65826416015625,262.65911865234375,276.48431396484375,-14.9991455078125,-1.1739501953125,0.10341868549585342,0.2709161639213562,0.6256651282310486
