model,seed,MAE,RMSE,MSE,R2,MAPE,best_epoch,actual_epochs,train_time_seconds,params
Standalone_LSTM,42,282.0597249207455,388.0892146393376,150613.23851937786,0.8281003006819807,5.180001527469366,15,22,7.520701169967651,56152
Standalone_TCN,42,252.7680362660144,339.3751232996438,115175.47431464844,0.8685465527590324,4.617666448357529,9,16,11.87895131111145,36952
Standalone_CNN,42,464.93409435777306,616.7317385372907,380358.03731922904,0.5658852243592438,8.866338950223655,16,23,7.8446784019470215,27400
Static_Equal_Ensemble,42,289.0852606732596,392.4950491635564,154052.36361790256,0.8241751173703067,5.349410932317961,0,0,27.244330883026123,120504
Original_CAEGNet_V1,42,254.1952878312313,336.87996334004106,113488.1096999874,0.8704723958837904,4.777898337395232,11,18,24.99270534515381,121531
Bounded_CAEGNet_rho0.50,42,254.91057815826903,341.6708755760996,116738.98721693852,0.8667620655491054,4.678766440426752,7,14,28.529555082321167,121531
Standalone_LSTM,123,284.1292550402901,395.3808309632785,156326.00149321262,0.8215801418491239,5.193335416772047,11,18,11.325865030288696,56152
Standalone_TCN,123,256.5394921202072,346.25974796979796,119895.813064108,0.8631590793889083,4.79097433758091,8,15,45.05127668380737,36952
Standalone_CNN,123,406.64751985796573,545.2728107163628,297322.4381065224,0.6606564056821882,7.522171571699729,34,41,52.07331037521362,27400
Static_Equal_Ensemble,123,273.9867602136564,382.3538199809351,146194.44365401333,0.8331436123866583,5.014101020331077,0,0,108.45045208930969,120504
Original_CAEGNet_V1,123,248.54834764216255,334.37480670627446,111806.51135985841,0.8723916577752653,4.653417679531226,5,12,55.5679988861084,121531
Bounded_CAEGNet_rho0.50,123,244.05989983473654,330.99062157438027,109554.7915701946,0.8749616174852933,4.4880263262279705,7,14,34.002679109573364,121531
Standalone_LSTM,999,300.033087398759,407.1222595742707,165748.53424085985,0.8108259042929986,5.5982750322709425,21,28,9.273640632629395,56152
Standalone_TCN,999,248.8407747955558,334.17826958075216,111675.11585998586,0.8725416236557011,4.5679522473269065,11,18,12.840259075164795,36952
Standalone_CNN,999,396.72399072190154,537.0697942976116,288443.96394687885,0.6707896917960059,7.317614327257618,25,32,10.038116455078125,27400
Static_Equal_Ensemble,999,272.4525090747737,374.77845309605794,140458.8889050741,0.8396897842003521,5.007288119201511,0,0,32.152016162872314,120504
Original_CAEGNet_V1,999,244.61204608993884,327.82373165872764,107468.39903865347,0.8773428839155025,4.514886935467528,11,18,25.399187326431274,121531
Bounded_CAEGNet_rho0.50,999,258.35802839810793,338.93329825473324,114875.78066583198,0.8688886026918637,4.746754360623129,11,18,22.236918210983276,121531
Standalone_LSTM,2024,294.77892860440113,391.40008907164525,153194.02972529185,0.8251547612548996,5.4854299490489495,18,25,6.7632365226745605,56152
Standalone_TCN,2024,259.7223766313147,342.4928571041408,117301.35716735742,0.866120214764056,4.834199152534202,7,14,10.37299370765686,36952
Standalone_CNN,2024,401.67914500720474,540.2629722742915,291884.07921065186,0.6668633783771107,7.623068983930474,27,34,10.49553632736206,27400
Static_Equal_Ensemble,2024,273.31425119957197,367.43330128195004,135007.23089095225,0.8459119356036741,5.118155360094452,0,0,27.63176655769348,120504
Original_CAEGNet_V1,2024,264.1737501408746,346.3251723267169,119941.12498713013,0.863107363444018,4.9373597143167265,4,11,13.272696256637573,121531
Bounded_CAEGNet_rho0.50,2024,254.3479257983562,334.42791479794283,111842.0301961001,0.8723511189930833,4.672301664506041,11,18,22.525883197784424,121531
Standalone_LSTM,3407,297.64778918620544,425.2093680914374,180803.0067127195,0.7936437540600951,5.462416015668591,11,18,4.913849830627441,56152
Standalone_TCN,3407,254.26406967265282,338.697551431645,114716.03134579181,0.8690709296928042,4.743306512659042,11,18,13.436976671218872,36952
Standalone_CNN,3407,490.4326796848586,657.9312117765265,432873.47942972864,0.5059476730716373,9.088087296160735,41,45,14.317543745040894,27400
Static_Equal_Ensemble,3407,290.1026350332866,400.8767898966922,160702.20067787668,0.8165854459552252,5.339433831822653,0,0,32.66837024688721,120504
Original_CAEGNet_V1,3407,247.14726401186064,328.731845809175,108064.6264491072,0.876662390529996,4.696390543985271,7,14,17.275096893310547,121531
Bounded_CAEGNet_rho0.50,3407,241.11359457795243,320.912275709232,102984.68870087815,0.8824602857220741,4.550838177953364,13,20,24.840030431747437,121531
