client_id,first_active_timestamp,last_active_timestamp,active_duration_days,included_in_fixed_cohort_320,included_in_cohort_321,exclusion_reason
MT_001,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_002,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_003,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_004,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_005,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_006,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_007,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_008,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_009,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_010,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_011,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_012,2013-08-29 14:15:00,2015-01-01 00:00:00,489.41,NO,NO,Activated late during study period (2013-08-29 14:15:00)
MT_013,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_014,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_015,2013-06-04 14:45:00,2015-01-01 00:00:00,575.39,NO,NO,Activated late during study period (2013-06-04 14:45:00)
MT_016,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_017,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_018,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_019,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_020,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_021,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_022,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_023,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_024,2012-03-30 11:15:00,2015-01-01 00:00:00,1006.53,NO,NO,Activated late during study period (2012-03-30 11:15:00)
MT_025,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_026,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_027,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_028,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_029,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_030,2013-05-09 14:30:00,2015-01-01 00:00:00,601.4,NO,NO,Activated late during study period (2013-05-09 14:30:00)
MT_031,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_032,2012-11-16 14:30:00,2015-01-01 00:00:00,775.4,NO,NO,Activated late during study period (2012-11-16 14:30:00)
MT_033,2012-07-13 14:45:00,2015-01-01 00:00:00,901.39,NO,NO,Activated late during study period (2012-07-13 14:45:00)
MT_034,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_035,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_036,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_037,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_038,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_039,2013-10-03 12:15:00,2015-01-01 00:00:00,454.49,NO,NO,Activated late during study period (2013-10-03 12:15:00)
MT_040,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_041,2013-09-13 15:45:00,2015-01-01 00:00:00,474.34,NO,NO,Activated late during study period (2013-09-13 15:45:00)
MT_042,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_043,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_044,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_045,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_046,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_047,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_048,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_049,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
MT_050,2012-01-01 00:15:00,2015-01-01 00:00:00,1095.99,YES,YES,NONE (Active on or before 2012-01-01 00:15:00)
