model,seed,best_epoch,actual_epochs,val_mse,test_mae,test_rmse,test_mse,test_r2,test_mape,train_time_s,params
Standalone LSTM,42,7,13,0.020199083524095194,8.690726193741009,12.566967157140414,157.92866352864584,0.9777553161529622,4.5942842833855755,10.710469245910645,56152
Standalone TCN,42,22,25,0.016698510633901723,8.240397588040405,11.816073976563843,139.61960421962925,0.9803341971918172,4.361311880016591,56.48632884025574,36952
Standalone CNN,42,20,25,0.02522931208143071,10.911840727844002,14.779926526234341,218.44622812088554,0.9692312517971406,5.825091599409374,22.398311376571655,27400
Static Equal Ensemble,42,N/A,N/A,0.020708968746475875,8.395890546986505,12.157442827847712,147.80341611238575,0.9791814849219196,4.407327809594873,89.59510946273804,120504
Original CAEG-Net V1,42,8,14,0.014666491815249526,8.41553382193499,11.767154674775549,138.46592914009204,0.9804966954795448,4.486317884446906,56.65256404876709,121531
Standalone LSTM,123,7,13,0.019832456634650306,8.747108507175767,12.842459177837993,164.92875773443532,0.9767693337541494,4.600564248644916,11.106160163879395,56152
Standalone TCN,123,22,25,0.016559483945339678,8.38484493344074,11.886442249878801,141.28750935970382,0.9800992681947699,4.448834470732824,58.99150061607361,36952
Standalone CNN,123,23,25,0.023141029741494887,11.026094587197953,15.031426862199798,225.94379351366166,0.9681751992221466,5.719513516026745,23.036362648010254,27400
Static Equal Ensemble,123,N/A,N/A,0.019844323440494957,8.400044602762893,12.144172792828096,147.48093282206614,0.9792269075746467,4.400354649777223,93.13402342796326,120504
Original CAEG-Net V1,123,13,19,0.014882619150974337,8.687289251340234,11.781204451912368,138.79677833775978,0.9804500944659053,4.697308375317768,75.82478928565979,121531
Standalone LSTM,999,25,25,0.01681306431325333,7.803791143297569,11.285606651165,127.3649174848197,0.9820603033081453,4.025765288057954,21.895864963531494,56152
Standalone TCN,999,17,23,0.01702399727242488,8.528111624035393,12.173272810393813,148.1885709162733,0.9791272348152371,4.4790467676159,71.80003595352173,36952
Standalone CNN,999,22,25,0.025108008675517574,10.88096597744497,14.757941385537848,217.79683393897076,0.9693227207423343,5.737872283068395,64.65637135505676,27400
Static Equal Ensemble,999,N/A,N/A,0.019648356753731926,8.109300298206946,11.673658346179998,136.27429918333792,0.9808053925482618,4.233862164725511,158.35227227210999,120504
Original CAEG-Net V1,999,6,12,0.015307982977960379,8.166076005647863,11.62469270899835,135.13348057863936,0.9809660799663741,4.262186371120139,136.4306538105011,121531
Standalone LSTM,2024,22,25,0.017061821842235664,8.006582840179131,11.488558023764558,131.986965465405,0.9814092752189011,4.2042193538154065,21.495115280151367,56152
Standalone TCN,2024,25,25,0.017018849946438305,8.314379064974636,11.899737560383365,141.60375400599864,0.9800547242721027,4.385455210370937,58.311500549316406,36952
Standalone CNN,2024,8,14,0.03821135141075619,13.638387192384426,18.050185771696274,325.8092063927466,0.9541088829049303,7.615883970346782,12.809299945831299,27400
Static Equal Ensemble,2024,N/A,N/A,0.024097341066476718,8.872276178852088,12.552623398936493,157.56835419552797,0.9778060667071887,4.773098598379949,92.61591577529907,120504
Original CAEG-Net V1,2024,18,24,0.013054352505282769,7.553491290102306,10.649345130685182,113.40855171244819,0.9840260955672796,3.9763582981124044,97.059983253479,121531
Standalone LSTM,3407,24,25,0.017718718240728543,7.989872245861608,11.52144801985034,132.7437644741133,0.9813026780103367,4.205246324297659,21.73767924308777,56152
Standalone TCN,3407,22,25,0.016748434398323298,8.207525223520165,11.747178055084461,137.99619225785793,0.9805628592031091,4.267665594327122,61.873199701309204,36952
Standalone CNN,3407,18,24,0.027644792015874577,12.069960786302943,16.40849187386179,269.2386055745884,0.9620770066268705,6.253753922306564,22.884045124053955,27400
Static Equal Ensemble,3407,N/A,N/A,0.02070398155164214,8.365331386790094,11.991587655247873,143.79817449349318,0.9797456341495049,4.334658444491387,106.49492406845093,120504
Original CAEG-Net V1,3407,11,17,0.014589042308920573,7.679001704501318,10.945641952864005,119.80707776029654,0.9831248456874843,3.9827884283305464,68.9593768119812,121531
