seed,model,MAE (MW),RMSE (MW),MSE (MW^2),MAPE (%),R^2,Params,Train Time (s),Best Epoch,Best Val MSE
42,Persistence_Naive24,285.19,388.86,151213.98,5.31,0.8274,0,0.0,0,
123,Persistence_Naive24,285.19,388.86,151213.98,5.31,0.8274,0,0.0,0,
2024,Persistence_Naive24,285.19,388.86,151213.98,5.31,0.8274,0,0.0,0,
3407,Persistence_Naive24,285.19,388.86,151213.98,5.31,0.8274,0,0.0,0,
999,Persistence_Naive24,285.19,388.86,151213.98,5.31,0.8274,0,0.0,0,
42,LSTM_Standalone,316.07,424.52,180215.76,5.81,0.7943,56152,68.8,6,0.614
42,TCN_Standalone,266.9,359.39,129163.65,4.93,0.8526,36952,133.8,8,0.48551
42,CNN_Standalone,479.67,648.41,420431.26,9.21,0.5201,27400,23.7,20,1.15257
42,Static_Equal_Ensemble,311.29,422.49,178501.7,5.8,0.7963,120504,226.3,0,
42,Standard_Input_MoE,257.11,348.06,121146.18,4.82,0.8617,126011,269.9,6,0.39827
42,CAEG_Net_No_Recent_Error,269.82,363.97,132474.75,4.97,0.8488,121515,210.3,7,0.42647
42,Full_CAEG_Net,268.31,351.88,123819.32,5.07,0.8587,121531,295.4,13,0.44217
123,LSTM_Standalone,307.62,418.35,175016.02,5.7,0.8002,56152,109.9,22,0.64694
123,TCN_Standalone,251.13,340.95,116246.99,4.61,0.8673,36952,103.9,8,0.46183
123,CNN_Standalone,547.16,717.31,514534.4,10.14,0.4127,27400,16.7,17,1.45649
123,Static_Equal_Ensemble,310.39,417.68,174454.57,5.71,0.8009,120504,230.4,0,
123,Standard_Input_MoE,293.35,392.18,153803.8,5.42,0.8245,126011,171.7,7,0.41902
123,CAEG_Net_No_Recent_Error,240.29,319.16,101861.06,4.5,0.8837,121515,158.1,6,0.39401
123,Full_CAEG_Net,250.86,338.32,114458.32,4.65,0.8694,121531,253.3,13,0.44424
2024,LSTM_Standalone,277.12,380.68,144914.17,5.07,0.8346,56152,107.7,18,0.58192
2024,TCN_Standalone,263.29,358.5,128525.53,4.88,0.8533,36952,89.4,6,0.48633
2024,CNN_Standalone,431.54,596.15,355398.4,7.94,0.5944,27400,18.1,19,1.00421
2024,Static_Equal_Ensemble,280.78,392.18,153801.31,5.14,0.8245,120504,215.3,0,
2024,Standard_Input_MoE,281.88,376.15,141491.16,5.32,0.8385,126011,118.2,3,0.43731
2024,CAEG_Net_No_Recent_Error,253.68,338.04,114268.81,4.72,0.8696,121515,173.7,7,0.40052
2024,Full_CAEG_Net,247.3,328.28,107765.45,4.69,0.877,121531,185.5,8,0.38535
3407,LSTM_Standalone,320.83,439.78,193410.01,5.99,0.7793,56152,61.2,7,0.67658
3407,TCN_Standalone,250.25,337.46,113875.99,4.64,0.87,36952,133.6,12,0.44489
3407,CNN_Standalone,395.63,551.94,304641.12,7.21,0.6523,27400,18.2,23,0.97119
3407,Static_Equal_Ensemble,278.83,393.36,154734.39,5.11,0.8234,120504,212.9,0,
3407,Standard_Input_MoE,279.48,375.79,141218.35,5.17,0.8388,126011,131.6,4,0.47013
3407,CAEG_Net_No_Recent_Error,271.79,353.9,125244.9,5.2,0.8571,121515,133.6,4,0.38101
3407,Full_CAEG_Net,244.0,324.24,105132.27,4.5,0.88,121531,230.1,11,0.4085
999,LSTM_Standalone,285.61,410.74,168707.42,5.28,0.8074,56152,104.4,16,0.66574
999,TCN_Standalone,267.74,360.54,129987.99,4.93,0.8516,36952,81.9,5,0.49768
999,CNN_Standalone,493.67,630.44,397456.46,9.77,0.5464,27400,15.8,15,1.05676
999,Static_Equal_Ensemble,296.13,395.51,156425.09,5.63,0.8215,120504,202.0,0,
999,Standard_Input_MoE,269.7,357.85,128054.34,5.03,0.8538,126011,242.6,12,0.37816
999,CAEG_Net_No_Recent_Error,237.18,322.08,103734.18,4.35,0.8816,121515,213.9,10,0.38856
999,Full_CAEG_Net,246.71,328.87,108152.89,4.63,0.8766,121531,189.4,8,0.36747
