Context,Regime,LSTM_MAE,TCN_MAE,CNN_MAE,CAEG_MAE,Best_Expert,Highest_Weight,Aligned
Trend,Low,502.74,1088.82,699.94,228.5,LSTM,LSTM,True
Trend,Medium,522.61,1262.52,774.05,285.83,LSTM,LSTM,True
Trend,High,815.26,1350.36,1056.75,290.56,LSTM,LSTM,True
Volatility,Low,453.64,1043.31,652.37,238.0,LSTM,LSTM,True
Volatility,Medium,569.68,1262.7,872.11,267.89,LSTM,LSTM,True
Volatility,High,817.18,1395.69,1006.03,299.04,LSTM,LSTM,True
Periodicity,Low,631.55,1249.58,869.13,273.2,LSTM,LSTM,True
Periodicity,Medium,617.63,1161.73,880.05,244.21,LSTM,LSTM,True
Periodicity,High,591.2,1290.62,781.31,287.57,LSTM,LSTM,True
Recent_Error,Low,521.81,1132.43,729.86,237.12,LSTM,LSTM,True
Recent_Error,Medium,588.27,1280.3,782.54,236.23,LSTM,LSTM,True
Recent_Error,High,730.39,1288.92,1018.32,331.65,LSTM,LSTM,True
