forecast_origin_idx,timestamp,Trend,Volatility,Periodicity,Recent_Error,w_LSTM,w_TCN,w_CNN,MAE_CAEG (MW),MAE_LSTM (MW),MAE_TCN (MW),MAE_CNN (MW)
167,2024-08-14 05:00:00+00:00,-0.0007485584,0.3540328,0.7368569,0.7462627,0.404315,0.3099135,0.28577143,359.9641616361666,1690.1384747406992,1564.9530879439462,1525.2809251681695
168,2024-08-14 06:00:00+00:00,-0.0012867644,0.35414508,0.7360604,0.7841859,0.40352544,0.3113509,0.28512365,317.81624340195077,1090.9794091647311,1417.415887154426,1140.9899148047764
169,2024-08-14 07:00:00+00:00,-0.0018235267,0.3538559,0.7355505,0.74209905,0.4042533,0.30979514,0.28595152,320.8449052473954,795.580404974812,1254.3611858396127,1244.7511260490162
170,2024-08-14 08:00:00+00:00,-0.002304114,0.35355586,0.7349784,0.70211345,0.40415466,0.3085969,0.28724843,332.373940827226,723.8128694684123,1314.0591337645635,1265.9878982156304
171,2024-08-14 09:00:00+00:00,-0.002695228,0.35283044,0.7348564,0.67475075,0.40392715,0.30767813,0.28839472,327.0073451428936,709.2374465690118,1586.7654345822375,1274.6472615905438
172,2024-08-14 10:00:00+00:00,-0.0029828323,0.3519987,0.7346942,0.659669,0.40384766,0.30714458,0.2890078,281.111597785509,728.1109610339608,1554.6625476416582,1009.48062560663
173,2024-08-14 11:00:00+00:00,-0.003177272,0.35094497,0.73444295,0.6135715,0.40416366,0.3047143,0.29112202,286.209534755545,761.7335838599598,1320.3889612706744,1129.7294472878154
174,2024-08-14 12:00:00+00:00,-0.0032709101,0.34995145,0.73383576,0.5335016,0.4039058,0.30141044,0.29468384,327.65200444952706,777.7125156157707,1213.721911968432,1161.5623912081007
175,2024-08-14 13:00:00+00:00,-0.0032642076,0.34780225,0.73274136,0.41942778,0.4034577,0.3019275,0.29461476,349.0197424352479,787.1693638067912,1234.9029872810286,1142.7956296690636
176,2024-08-14 14:00:00+00:00,-0.0031338993,0.3467507,0.7313382,0.3411874,0.40224934,0.30364713,0.2941036,295.58594661779483,784.076210458417,1257.170534183688,927.3346268596041
177,2024-08-14 15:00:00+00:00,-0.0028924418,0.34641442,0.73008084,0.3036326,0.40135822,0.3047696,0.2938722,310.3515558620648,791.9385303910873,1334.2596059890095,1123.53086138894
178,2024-08-14 16:00:00+00:00,-0.0025573496,0.34647024,0.7291711,0.29752353,0.40116572,0.30493557,0.29389873,291.4265041191677,809.8744410324058,1388.7023788077947,1212.1707994699432
179,2024-08-14 17:00:00+00:00,-0.002143186,0.34641957,0.728835,0.28873062,0.4009482,0.30520436,0.29384735,239.6922397906233,840.0541636961507,1488.9050603270307,1256.9912332960046
180,2024-08-14 18:00:00+00:00,-0.0016446636,0.34702116,0.72894627,0.29976904,0.40116918,0.30486262,0.29396823,201.4681802158443,882.4945489921738,1641.2228255493737,984.9344186332067
181,2024-08-14 19:00:00+00:00,-0.001103369,0.34728375,0.7283942,0.2736192,0.40059224,0.30575138,0.29365638,139.1052437548863,1044.2782186523598,1588.6542664319234,1167.7996504462417
182,2024-08-14 20:00:00+00:00,-0.00054018764,0.3470808,0.7275136,0.26884496,0.4004843,0.3059399,0.29357576,162.01690001440292,1368.0369139400839,1484.3824852741454,1213.0874823649524
183,2024-08-14 21:00:00+00:00,-3.228506e-05,0.3468836,0.7255998,0.19650342,0.39912266,0.3074883,0.29338902,170.83040787538982,1639.1167024620318,1343.7768535892599,1259.3087742317457
184,2024-08-14 22:00:00+00:00,0.0003904455,0.34598,0.7230661,0.20936008,0.3992857,0.3072509,0.29346338,313.1892921269751,1817.2983650764588,1389.1558045646743,957.3972791306905
185,2024-08-14 23:00:00+00:00,0.00070950005,0.34523025,0.7206695,0.21190347,0.39925948,0.30717668,0.2935638,319.7166269685949,1891.1743618197806,1363.9224735846904,1086.7528227210153
186,2024-08-15 00:00:00+00:00,0.0009061411,0.3422542,0.71887153,0.21694945,0.39939636,0.3070575,0.29354617,374.1432812931884,1818.2678614727986,1335.6507447097217,1101.2563334965805
187,2024-08-15 01:00:00+00:00,0.00092561013,0.3402477,0.7182246,0.22255452,0.39955392,0.30695006,0.29349604,372.4727463111944,1584.2055168919321,1274.1945433861404,1104.4242861221317
188,2024-08-15 02:00:00+00:00,0.0007681272,0.3399081,0.7186414,0.24151288,0.39993382,0.30665916,0.29340702,360.9498128901685,1207.2750780501185,1414.288799186308,888.2557645275325
189,2024-08-15 03:00:00+00:00,0.0004708613,0.3400693,0.72002053,0.2601441,0.40031344,0.306186,0.29350063,173.16892746323538,870.7039450769001,1616.9813744328032,1060.373615749856
190,2024-08-15 04:00:00+00:00,6.409745e-05,0.34056652,0.72181195,0.272679,0.40057608,0.30569693,0.29372692,107.15986461436565,687.6887040396279,1817.666634290418,1153.562382446444
191,2024-08-15 05:00:00+00:00,-0.00042267298,0.34091872,0.72392184,0.38276458,0.40287367,0.30242285,0.29470354,105.5487786455371,585.5009136108853,1906.390441703914,1167.3542659123914
192,2024-08-15 06:00:00+00:00,-0.0009437605,0.34098536,0.72605586,0.3884171,0.40305904,0.30237508,0.29456583,145.15861878115467,531.6416005935718,1790.5950787898237,867.0563087834221
193,2024-08-15 07:00:00+00:00,-0.0014686277,0.34082773,0.72762096,0.40037322,0.40331373,0.30217856,0.29450774,180.05118199253604,494.1556800368979,1721.7775203542863,974.1135870849657
194,2024-08-15 08:00:00+00:00,-0.0019449111,0.3405514,0.72864854,0.4191153,0.40363783,0.3018281,0.2945341,234.3863966112922,529.2519960554945,1781.8962180638016,964.4210155757015
195,2024-08-15 09:00:00+00:00,-0.0023398837,0.33997342,0.72907025,0.45558524,0.40417868,0.30111164,0.29470968,258.68847859531195,565.4530672370579,1758.233205204032,886.8758224363975
196,2024-08-15 10:00:00+00:00,-0.0026269187,0.33859652,0.72947544,0.41911104,0.4037835,0.30186802,0.29434848,194.41832952121982,574.0925981145512,1761.8028977344445,718.2039003156714
197,2024-08-15 11:00:00+00:00,-0.0027894343,0.3369912,0.72965544,0.32306543,0.4022546,0.30422774,0.29351765,186.41880654631908,585.8273820943388,1682.3250739326952,841.4648694825237
198,2024-08-15 12:00:00+00:00,-0.0028346982,0.3344868,0.72965515,0.20813167,0.40002328,0.307296,0.29268074,177.33646538986434,594.7109830591999,1604.1866461723814,834.68021304764
199,2024-08-15 13:00:00+00:00,-0.0027539625,0.33242804,0.7296698,0.12868883,0.39863837,0.3085224,0.2928392,166.62817713986865,596.2673275159055,1565.9568484386316,800.8414419023029
200,2024-08-15 14:00:00+00:00,-0.0025556814,0.33108604,0.729858,0.13755201,0.39886385,0.3083769,0.29275915,106.45470167093731,582.9784661949193,1497.2755259197404,673.5486386337898
201,2024-08-15 15:00:00+00:00,-0.0022507082,0.33055574,0.7300783,0.18432963,0.39975983,0.30764428,0.29259592,166.32087364930683,566.1512537714881,1562.879070315775,878.8787046619309
202,2024-08-15 16:00:00+00:00,-0.0018525311,0.3307507,0.73045826,0.2131222,0.40029615,0.30720088,0.2925029,184.58659349989276,549.0250295918094,1630.192918683854,916.6227021629735
203,2024-08-15 17:00:00+00:00,-0.0014079586,0.3306415,0.7306836,0.20992054,0.40024936,0.30725008,0.29250053,199.89026871919455,540.9789207457826,1554.019810138634,916.7635700986615
204,2024-08-15 18:00:00+00:00,-0.0009219111,0.33063385,0.73013157,0.16379178,0.39937323,0.30795866,0.29266807,153.25593801562005,523.5964205014525,1490.7657021720777,760.0443420548451
205,2024-08-15 19:00:00+00:00,-0.00039826598,0.33065453,0.72983384,0.15099968,0.3991203,0.30815274,0.29272696,261.38984756373446,511.12117389272925,1441.3005930242355,966.3515423018465
206,2024-08-15 20:00:00+00:00,0.00014671052,0.33059675,0.72999877,0.1688336,0.39945784,0.30787274,0.29266945,306.9556189477478,593.5779230753052,1238.8679802120378,992.0922379321955
207,2024-08-15 21:00:00+00:00,0.0006686232,0.33025578,0.73149514,0.20033379,0.4001138,0.30739495,0.29249126,295.1542193470872,672.418744246845,1202.4083722898536,1011.5971232203318
208,2024-08-15 22:00:00+00:00,0.0011316728,0.32940245,0.734509,0.23117779,0.40083656,0.30694726,0.29221615,154.4719657967631,693.1030930249564,1261.1687134369529,832.9856561346108
209,2024-08-15 23:00:00+00:00,0.0015213497,0.3275303,0.7379262,0.22323428,0.40090662,0.3070971,0.2919962,186.6945535150849,683.431097895866,1305.3305456275277,1008.3111221890726
210,2024-08-16 00:00:00+00:00,0.0017889178,0.32404098,0.74013364,0.21947527,0.4010686,0.30715927,0.2917722,170.49474980685602,675.8723799810718,1400.5698961601404,983.7928507257844
211,2024-08-16 01:00:00+00:00,0.00186934,0.32274753,0.7410865,0.23354322,0.40149766,0.3070699,0.29143238,154.19178205307585,661.5536167469137,1400.627059602217,929.7766647339477
212,2024-08-16 02:00:00+00:00,0.0017857166,0.32202387,0.7415549,0.25256708,0.4020224,0.3069202,0.2910574,131.55414019481395,649.3171994378724,1477.945523399109,742.781048403548
213,2024-08-16 03:00:00+00:00,0.0015733468,0.3215758,0.74172604,0.26881948,0.40242732,0.30641726,0.29115537,164.1663257381856,639.7670727875226,1596.1437931764087,896.8647647944886
214,2024-08-16 04:00:00+00:00,0.0012658202,0.32136184,0.74197316,0.24602418,0.40192658,0.30704677,0.29102665,154.82731630277738,645.7963402767397,1583.6505453386253,931.2133523942879
215,2024-08-16 05:00:00+00:00,0.00089127145,0.32126775,0.7421793,0.22911912,0.40153125,0.3071556,0.29131308,146.87930312161356,666.4903273827507,1633.6587418402025,920.9362649994091
216,2024-08-16 06:00:00+00:00,0.0004799733,0.32125494,0.7421314,0.23317786,0.40163264,0.30713588,0.29123142,213.41656624219493,690.6533530654918,1502.4924134614048,824.8663276565003
217,2024-08-16 07:00:00+00:00,6.609987e-05,0.3212164,0.741726,0.23992021,0.4017819,0.30708984,0.2911283,253.29806772560926,744.4718233496736,1543.5264284726327,924.7694310057408
218,2024-08-16 08:00:00+00:00,-0.00030338755,0.3210428,0.7408095,0.2537954,0.4020764,0.3068504,0.2910733,293.16673720248014,808.2023634824496,1602.1302009631436,956.2066241893225
219,2024-08-16 09:00:00+00:00,-0.00058888475,0.32090306,0.7395013,0.2729608,0.4024542,0.30621195,0.29133385,315.74212533027253,833.5153913729754,1635.0407929794353,966.5774852572385
220,2024-08-16 10:00:00+00:00,-0.0007850582,0.32033324,0.7384208,0.29326633,0.4028887,0.30555186,0.2915595,356.16324202857294,880.1902716447597,1483.3065376143497,969.8615733475508
221,2024-08-16 11:00:00+00:00,-0.0008807022,0.31979522,0.7382039,0.30608547,0.4031948,0.30515248,0.2916527,354.06096195096643,915.1337807588351,1374.2595493205934,995.5927338153737
