Context,Regime,Sample_Count,w_LSTM_mean,w_TCN_mean,w_CNN_mean,LSTM_MAE,LSTM_RMSE,LSTM_R2,LSTM_MAPE,TCN_MAE,TCN_RMSE,TCN_R2,TCN_MAPE,CNN_MAE,CNN_RMSE,CNN_R2,CNN_MAPE,CAEG_MAE,CAEG_MSE,CAEG_RMSE,CAEG_R2,CAEG_MAPE,Best_Expert,Best_Expert_MAE,Improvement_Over_Best_Exp_pct
Trend,Low,431,0.4038,0.3071,0.2891,502.74,637.23,0.35,9.55,1088.82,1330.71,-1.8348,20.87,699.94,849.87,-0.1563,13.68,228.5,86890.07,294.77,0.8609,4.5,LSTM,502.74,54.55
Trend,Medium,432,0.4051,0.3077,0.2872,522.61,680.26,0.3677,9.93,1262.52,1560.77,-2.3283,23.53,774.05,962.46,-0.2656,14.43,285.83,138097.5,371.61,0.8113,5.55,LSTM,522.61,45.31
Trend,High,431,0.4048,0.3079,0.2873,815.26,1118.36,-0.0612,14.94,1350.36,1600.72,-1.1741,24.21,1056.75,1378.35,-0.612,17.46,290.56,146437.28,382.67,0.8757,5.15,LSTM,815.26,64.36
Volatility,Low,431,0.4046,0.3074,0.288,453.64,574.13,0.4116,9.01,1043.31,1299.54,-2.0147,20.39,652.37,798.37,-0.1378,12.96,238.0,87810.69,296.33,0.8432,4.8,LSTM,453.64,47.53
Volatility,Medium,432,0.4056,0.3083,0.2861,569.68,748.83,0.3297,10.64,1262.7,1539.14,-1.8316,23.57,872.11,1097.34,-0.4394,15.79,267.89,134005.46,366.07,0.8398,5.01,LSTM,569.68,52.98
Volatility,High,431,0.4035,0.3071,0.2894,817.18,1108.58,-0.1647,14.76,1395.69,1646.66,-1.5697,24.66,1006.03,1306.24,-0.617,16.82,299.04,149618.19,386.81,0.8582,5.39,LSTM,817.18,63.41
Periodicity,Low,431,0.4029,0.3057,0.2914,631.55,839.46,0.3581,11.66,1249.58,1509.41,-1.0754,23.04,869.13,1162.23,-0.2305,15.29,273.2,130933.21,361.85,0.8807,5.17,LSTM,631.55,56.74
Periodicity,Medium,432,0.4043,0.3076,0.2881,617.63,864.39,0.2036,11.34,1161.73,1423.84,-1.161,21.18,880.05,1126.13,-0.3518,15.82,244.21,96807.53,311.14,0.8968,4.6,LSTM,617.63,60.46
Periodicity,High,431,0.4065,0.3095,0.284,591.2,816.71,-0.1451,11.41,1290.62,1569.84,-3.2309,24.4,781.31,963.7,-0.5944,14.46,287.57,143779.9,379.18,0.7532,5.42,LSTM,591.2,51.36
Recent_Error,Low,431,0.4034,0.3093,0.2872,521.81,687.63,0.2445,9.98,1132.43,1410.82,-2.1803,21.43,729.86,897.96,-0.2884,13.63,237.12,99106.68,314.81,0.8416,4.55,LSTM,521.81,54.56
Recent_Error,Medium,432,0.4044,0.3079,0.2877,588.27,789.57,0.1843,11.19,1280.3,1548.32,-2.1366,23.95,782.54,975.69,-0.2456,14.31,236.23,98526.32,313.89,0.8711,4.5,LSTM,588.27,59.84
Recent_Error,High,431,0.4059,0.3055,0.2886,730.39,1011.39,0.1562,13.25,1288.92,1543.21,-0.9646,23.24,1018.32,1337.95,-0.4767,17.63,331.65,173883.65,416.99,0.8566,6.14,LSTM,730.39,54.59
