model,seed,MAE_MW,MSE_MW2,RMSE_MW,R2,MAPE_percent
Persistence_Naive24,Deterministic,285.19,151213.98,388.86,0.8274,5.31
LSTM_Standalone,42,316.07,180215.76,424.52,0.7943,5.81
LSTM_Standalone,123,307.62,175016.02,418.35,0.8002,5.7
LSTM_Standalone,2024,277.12,144914.17,380.68,0.8346,5.07
LSTM_Standalone,3407,320.83,193410.01,439.78,0.7793,5.99
LSTM_Standalone,999,285.61,168707.42,410.74,0.8074,5.28
TCN_Standalone,42,266.9,129163.65,359.39,0.8526,4.93
TCN_Standalone,123,251.13,116246.99,340.95,0.8673,4.61
TCN_Standalone,2024,263.29,128525.53,358.5,0.8533,4.88
TCN_Standalone,3407,250.25,113875.99,337.46,0.87,4.64
TCN_Standalone,999,267.74,129987.99,360.54,0.8516,4.93
CNN_Standalone,42,479.67,420431.26,648.41,0.5201,9.21
CNN_Standalone,123,547.16,514534.4,717.31,0.4127,10.14
CNN_Standalone,2024,431.54,355398.4,596.15,0.5944,7.94
CNN_Standalone,3407,395.63,304641.12,551.94,0.6523,7.21
CNN_Standalone,999,493.67,397456.46,630.44,0.5464,9.77
Static_Equal_Ensemble,42,311.29,178501.7,422.49,0.7963,5.8
Static_Equal_Ensemble,123,310.39,174454.57,417.68,0.8009,5.71
Static_Equal_Ensemble,2024,280.78,153801.31,392.18,0.8245,5.14
Static_Equal_Ensemble,3407,278.83,154734.39,393.36,0.8234,5.11
Static_Equal_Ensemble,999,296.13,156425.09,395.51,0.8215,5.63
Standard_Input_MoE,42,257.11,121146.18,348.06,0.8617,4.82
Standard_Input_MoE,123,293.35,153803.8,392.18,0.8245,5.42
Standard_Input_MoE,2024,281.88,141491.16,376.15,0.8385,5.32
Standard_Input_MoE,3407,279.48,141218.35,375.79,0.8388,5.17
Standard_Input_MoE,999,269.7,128054.34,357.85,0.8538,5.03
CAEG_Net_No_Recent_Error,42,269.82,132474.75,363.97,0.8488,4.97
CAEG_Net_No_Recent_Error,123,240.29,101861.06,319.16,0.8837,4.5
CAEG_Net_No_Recent_Error,2024,253.68,114268.81,338.04,0.8696,4.72
CAEG_Net_No_Recent_Error,3407,271.79,125244.9,353.9,0.8571,5.2
CAEG_Net_No_Recent_Error,999,237.18,103734.18,322.08,0.8816,4.35
Full_CAEG_Net,42,268.31,123819.32,351.88,0.8587,5.07
Full_CAEG_Net,123,250.86,114458.32,338.32,0.8694,4.65
Full_CAEG_Net,2024,247.3,107765.45,328.28,0.877,4.69
Full_CAEG_Net,3407,244.0,105132.27,324.24,0.88,4.5
Full_CAEG_Net,999,246.71,108152.89,328.87,0.8766,4.63
