Context_Feature,Regime,Sample_Count,w_LSTM_Mean,w_TCN_Mean,w_CNN_Mean
Trend,Low (<=33%),431,0.4038,0.3071,0.2891
Trend,Medium (33-67%),432,0.4051,0.3077,0.2872
Trend,High (>67%),431,0.4048,0.3079,0.2873
Volatility,Low (<=33%),431,0.4046,0.3074,0.288
Volatility,Medium (33-67%),432,0.4056,0.3083,0.2861
Volatility,High (>67%),431,0.4035,0.3071,0.2894
Periodicity,Low (<=33%),431,0.4029,0.3057,0.2914
Periodicity,Medium (33-67%),432,0.4043,0.3076,0.2881
Periodicity,High (>67%),431,0.4065,0.3095,0.284
Recent_Error,Low (<=33%),431,0.4034,0.3093,0.2872
Recent_Error,Medium (33-67%),432,0.4044,0.3079,0.2877
Recent_Error,High (>67%),431,0.4059,0.3055,0.2886
